record_id,doi,doi_split,hydrogel_name,hydrogel_format,polymer_backbone,monomers,monomer_ratios,crosslinker,crosslinker_concentration,synthesis_method,preparation_solvent,preparation_pH,preparation_temp_C,gelation_time,post_treatment,functional_groups,ligand_or_affinity_group,filler_or_composite,charge_class,responsive_type,swelling_ratio,water_content_pct,porosity_pct,pore_size_value,pore_size_unit,mesh_size,surface_area,particle_size,thickness,roughness,zeta_potential_mV,contact_angle_deg,young_modulus,degradation_or_stability,protein_name,protein_abbreviation,protein_species_or_source,protein_mw_kDa,protein_pI,protein_charge_at_pH,experiment_mode,pH,temperature_C,contact_time,contact_time_unit,buffer,salt_type,salt_concentration,hydrogel_dosage,solution_volume,flow_rate,detection_method,replicate_count,target_name,target_value,target_unit,target_direction,outcome_label,mechanism_tags,source_quality_score,extraction_confidence,article_title
PHA-92fc9dd0c3-006,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 6,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":2.0,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 2.0 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.12,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.12 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,21.05,mg/g,maximize,BSA adsorbed by hydrogel sample 6,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-007,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 7,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":2.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 2.5 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.12,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.12 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,20.05,mg/g,maximize,BSA adsorbed by hydrogel sample 7,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-008,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 8,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":3.0,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 3.0 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.12,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.12 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,18.1,mg/g,maximize,BSA adsorbed by hydrogel sample 8,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-009,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 9,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":1.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":0.5,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 1.5 g; gelatin 0.5 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.12,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.12 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,21.73,mg/g,maximize,BSA adsorbed by hydrogel sample 9,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-011,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 11,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":1.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.5,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 1.5 g; gelatin 1.5 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.12,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.12 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,16.84,mg/g,maximize,BSA adsorbed by hydrogel sample 11,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-013,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 13,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":1.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 1.5 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.19,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.19 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,24.9,mg/g,maximize,BSA adsorbed by hydrogel sample 13,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance"",""crosslink density""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-014,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 14,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":1.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 1.5 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.25,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.25 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,23.9,mg/g,maximize,BSA adsorbed by hydrogel sample 14,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance"",""crosslink density""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-92fc9dd0c3-015,10.1002/app.23370,train,PAA-grafted PVA/gelatin blend hydrogel sample 15,preswollen hydrogel piece cut from film,"[{""amount_unit"":""g"",""amount_value"":1.5,""name"":""poly(vinyl alcohol)""},{""amount_unit"":""g"",""amount_value"":1.0,""name"":""gelatin""},{""name"":""poly(acrylic acid) graft chains"",""precursor"":""acrylic acid""}]","[{""amount_unit"":""mM"",""amount_value"":58.3,""name"":""acrylic acid""}]",AAc 58.3 mM; PVA 1.5 g; gelatin 1.0 g,"[{""abbreviation"":""MBA"",""amount_unit"":""mM"",""amount_value"":0.32,""name"":""N,N'-methylene bisacrylamide""}]",MBA 0.32 mM,"redox polymerization using potassium persulfate/potassium metabisulfite initiator system, followed by water equilibration",,,,,,"[""carboxylic acid/carboxylate"",""hydroxyl"",""amide"",""amino""]",[],[],anionic/polyelectrolyte when carboxyl groups are ionized,"[""pH-sensitive"",""ion-responsive swelling"",""temperature-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,66-69,4.7-5.5,negative at pH 7.4,batch-contact adsorption,7.4,,30 min,,phosphate-buffered saline,[],,,20 mL,,UV-visible absorbance at 277 nm of residual BSA,,q_norm_mg_g,23.65,mg/g,maximize,BSA adsorbed by hydrogel sample 15,"[""composition-dependent adsorption"",""hydrophilicity"",""protein resistance"",""crosslink density""]",3,0.92,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study
PHA-3a95bab457-001,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,27 ± 0.2,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,168.4,ug/cm2,context_dependent,fibrinogen adsorption in PBS,"[""baseline adsorption medium""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-002,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,,batch contact,,,,,,KI,15% w/v,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,158.6,ug/cm2,context_dependent,fibrinogen adsorption in KI,"[""salt competition"",""active-site competition""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-003,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,,batch contact,,,,,,,,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,102.8,ug/cm2,context_dependent,fibrinogen adsorption in urea,"[""solute competition"",""active-site competition""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-004,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,,batch contact,,,,,,,,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,110.4,ug/cm2,context_dependent,fibrinogen adsorption in D-glucose,"[""solute competition"",""active-site competition""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-005,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,,batch contact,,,,,,NaCl,0.9% w/v,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,98.8,ug/cm2,context_dependent,fibrinogen adsorption in saline water,"[""salt competition"",""active-site competition""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-006,10.1002/app.24127,validation,PHEMA sponge,macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,,batch contact,,,,,,"[""NaCl"",""MgSO4"",""CaCl2"",""urea""]",NaCl 0.8% w/v; MgSO4 0.10% w/v; urea 21% w/v; CaCl2 0.06% w/v,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,92.6,ug/cm2,context_dependent,fibrinogen adsorption in synthetic urine,"[""salt competition"",""active-site competition"",""complex biological fluid""]",3,0.95,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-008,10.1002/app.24127,validation,"PHEMA sponge, 54% water feed, HEMA 32.9 x 10-3 mol/L, EGDMA 1.06 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],9.2,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,155.0,ug/cm2,context_dependent,adsorption at increased water content,"[""higher water content"",""hydrophilicity suppresses adsorption"",""diffusion restriction""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-009,10.1002/app.24127,validation,"PHEMA sponge, 62% water feed, HEMA 32.9 x 10-3 mol/L, EGDMA 1.06 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],10,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,142.0,ug/cm2,context_dependent,adsorption at increased water content,"[""higher water content"",""hydrophilicity suppresses adsorption"",""diffusion restriction""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-010,10.1002/app.24127,validation,"PHEMA sponge, 64% water feed, HEMA 32.9 x 10-3 mol/L, EGDMA 1.06 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],11.2,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,132.0,ug/cm2,context_dependent,adsorption at increased water content,"[""higher water content"",""hydrophilicity suppresses adsorption"",""diffusion restriction""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-011,10.1002/app.24127,validation,"PHEMA sponge, HEMA 24.6 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],6.4,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,168.0,ug/cm2,context_dependent,adsorption at low HEMA content,"[""HEMA content"",""hydrophilicity suppresses adsorption""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-013,10.1002/app.24127,validation,"PHEMA sponge, HEMA 41.1 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],10,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,118.0,ug/cm2,context_dependent,adsorption at higher HEMA content,"[""HEMA content"",""hydrophilicity suppresses adsorption""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-014,10.1002/app.24127,validation,"PHEMA sponge, HEMA 49.3 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.06 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],11.2,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,106.0,ug/cm2,context_dependent,adsorption at highest HEMA content in series,"[""HEMA content"",""hydrophilicity suppresses adsorption""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-017,10.1002/app.24127,validation,"PHEMA sponge, EGDMA 1.59 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 1.59 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],6,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,210.0,ug/cm2,context_dependent,adsorption at higher EGDMA content,"[""crosslinker content"",""hydrophobic interaction""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-3a95bab457-018,10.1002/app.24127,validation,"PHEMA sponge, EGDMA 2.12 x 10-3 mol/L",macroporous sponge,"[""poly(2-hydroxyethyl methacrylate)""]","[""2-hydroxyethyl methacrylate""]",,"[""ethylene glycol dimethacrylate""]",EGDMA 2.12 × 10^-3 mol/L,redox polymerization,,,,,,"[""hydroxyl"",""ester""]",[],[],nonionic,[],4.4,,,,,,,,,,,,,,fibrinogen,,porcine plasma,340-400,5.1,negative at pH 7.4,batch contact,7.4,,,,PBS,,0.5 M PBS,preweighed fully swollen gels,,,spectrophotometry,,surface_adsorption_ug_cm2,233.0,ug/cm2,context_dependent,adsorption at highest EGDMA content,"[""crosslinker content"",""hydrophobic interaction""]",3,0.9,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)"
PHA-614c1baf44-001,10.1002/app.25147,train,hydrogel polysucrose microspheres,microspheres,"[""polysucrose""]","[""sucrose""]",,"[""epichlorohydrin""]",,two-step method: solution polymerization of sucrose and epichlorohydrin followed by reversed phase suspension crosslinking reaction,,,,,,"[""hydroxyl groups""]",[],[],,,,,,,,,,"{""D_3_4_um"":449.4,""D_v_0_5_um"":443.36}",,,,,,,bovine serum albumin,BSA,bovine,,,,batch adsorption kinetics,7.6,25,24 h for equilibrium adsorption experiments; time course measured for kinetic experiments,,0.01 mol/L Tris-HCl,NaCl,0.2 mol/L,0.05 g dried microspheres,5.0 mL,,optical density at 280 nm of supernatant; mass balance using BSA standard curve,,q_norm_mg_g,49.28,mg/g,maximize,BSA adsorption capacity and kinetics,"[""hydroxyl content"",""hydrophilic hydrogel"",""particle size effect""]",3,0.93,Preparation and protein adsorption of hydrogel polysucrose microspheres
PHA-614c1baf44-002,10.1002/app.25147,train,hydrogel polysucrose microspheres,microspheres,"[""polysucrose""]","[""sucrose""]",,"[""epichlorohydrin""]",,two-step method: solution polymerization of sucrose and epichlorohydrin followed by reversed phase suspension crosslinking reaction,,,,,,"[""hydroxyl groups""]",[],[],,,,,,,,,,"{""D_3_4_um"":295.27,""D_v_0_5_um"":290.62}",,,,,,,bovine serum albumin,BSA,bovine,,,,batch adsorption kinetics,7.6,25,24 h for equilibrium adsorption experiments; time course measured for kinetic experiments,,0.01 mol/L Tris-HCl,NaCl,0.2 mol/L,0.05 g dried microspheres,5.0 mL,,optical density at 280 nm of supernatant; mass balance using BSA standard curve,,q_norm_mg_g,28.68,mg/g,maximize,BSA adsorption capacity and kinetics,"[""hydroxyl content"",""hydrophilic hydrogel"",""particle size effect""]",3,0.92,Preparation and protein adsorption of hydrogel polysucrose microspheres
PHA-c670c536cb-001,10.1002/app.25580,validation,gelatin/poly(HEMA-co-AM) semi-IPN,fully swollen gel,"[""gelatin"",""poly(2-hydroxyethyl methacrylate-co-acrylamide)""]","[""acrylamide 8.2 mM"",""2-hydroxyethyl methacrylate 28.1 mM""]",AM 8.2 mM; HEMA 28.1 mM; gelatin 0.50 g,"[""ethylene glycol dimethacrylate 0.26 mM""]",EGDMA 0.26 mM,conventional redox polymerization,,,,,,"[""hydroxyl"",""amide"",""carbonyl""]",[],"[""gelatin 0.50 g""]",nonionic hydrogel with pH-dependent gelatin component,"[""pH-responsive swelling"",""temperature-responsive swelling"",""ionic-strength-responsive swelling""]",,,,,,,,,,,,,,,bovine serum albumin,BSA,bovine,,,,batch contact adsorption,7.4,,30 min,,0.5 M PBS,,,preweighed fully swollen gels,,,spectrophotometric assay of remaining BSA,,q_norm_mg_g,3.18,mg/g,maximize,BSA adsorption,"[""hydrophilicity"",""protein adsorption"",""blood compatibility""]",3,0.95,Preparation and characterization of macroporous poly(2-hydroxyethyl methacrylate)-based biomaterials: Water sorption property and in vitro blood compatibility
