id,doi,field_name,field_value_json,why_special,evidence_text,suggested_table
1665,10.1016/j.snb.2025.138404,ovalbumin_anomalous_recovery,"""Ovalbumin recovery was higher than IL6 at all hydrogel w:v values despite higher nominal MW; DLS suggested two species including one smaller than IL6.""",Shows hydrodynamic size distribution can override nominal molecular weight in MWCO behavior.,"The text states DLS results suggested ovalbumin solution contained two species, one comparable to IL6 and one smaller than IL6.",mechanism_exceptions
1666,10.1016/j.snb.2025.138404,preconcentration_factors,"{""achieved_release_preconcentration"": 50, ""experimental_inside_hydrogel"": 259, ""theoretical_maximum"": 294}",Quantifies enrichment due to small hydrogel and release volume.,"The text reports 10 mL sample, about 34 uL hydrogel disk, and 200 uL release PBS.",preconcentration
1667,10.1016/j.snb.2025.138404,serum_lod,"{""IL6"": ""0.4 ng/mL"", ""streptavidin"": ""0.2 ng/mL""}",Key claimed assay sensitivity in undiluted serum.,"Abstract, measurement section, and conclusion report LOD of 0.4 ng/mL for IL6 and 0.2 ng/mL for streptavidin in undiluted serum.",assay_performance
1668,10.1016/j.snb.2025.138404,dry_storage_stability,"""Hydrogel disks stored dry in dark up to 8 weeks showed <7% variation in peak fluorescence for streptavidin measurement and did not require PBS pre-rehydration for comparable performance.""",Storage stability affects practical use of hydrogel assay disks.,Fig. 7 discussion reports variation <7% and no detrimental effect up to 8 weeks.,stability
1669,10.1016/j.snb.2025.138404,salt_matrix_robustness,"""Serum-like pH 7.4 salt solution versus saliva-like pH 6.8 salt/metabolite solution gave no statistically significant IL6 measurement differences at p < 0.05.""",Shows tested salts/ions did not significantly impair measurement.,Effect of other interferents section states differences were not statistically significant over about 60-fold change in salt concentration and ion types.,matrix_effects
1670,10.1016/j.snb.2025.138404,commercial_method_comparison,"{""cost_per_sample"": ""$2"", ""final_volume"": ""200 uL"", ""preconcentration"": ""50-fold"", ""requires_initial_dilution"": ""No"", ""this_work_sample_size"": ""10 mL""}",Places hydrogel assay against albumin depletion kits and highlights preconcentration instead of dilution.,Table 6 compares this work with commercial albumin depletion methods.,method_comparison
1671,10.1016/j.ijbiomac.2017.09.042,hydrogel_sample_coding,"""0 g mLap: CS/PVA; 0.2 g mLap: mCS/PVA/Lap1; 0.4 g mLap: mCS/PVA/Lap2; 0.6 g mLap: mCS/PVA/Lap3""",Sample codes encode magnetic laponite RD loading and are needed to interpret adsorption-capacity trends.,The magnetic chitosan/PVA/laponite RD hydrogel beads were coded based on the used magnetic laponite RD.,hydrogel_sample_metadata
1672,10.1016/j.ijbiomac.2017.09.042,pHpzc_range,"""6.7-7.3""",Used by authors to explain pH-dependent BSA adsorption relative to BSA pI.,The pHpzc of the beads was recorded in a range of 6.7-7.3.,surface_charge_properties
1673,10.1016/j.ijbiomac.2017.09.042,optimum_adsorption_pH_window,"""pH 4-6""",Adsorption maximum occurred between BSA pI and hydrogel pHpzc rather than at a single pH value.,"The maximum adsorption capacity of hydrogel beads were found to be between pHs 4-6, which is between pI of BSA and pHpzc of hydrogel beads.",condition_response
1674,10.1016/j.ijbiomac.2017.09.042,thermodynamic_parameters_mCS_PVA_Lap3,"{""DeltaG_kJ_mol"": {""283K"": -5.55, ""298K"": -6.86, ""318K"": -8.26}, ""DeltaH_kJ_mol"": 10.7, ""DeltaS_J_K_mol"": 59.3}",Thermodynamic parameters were reported for BSA adsorption on mCS/PVA/Lap3 but are not direct capacity metrics.,"The free energies of the adsorption processes were found to be increasingly negative with temperature... ΔG=-5.55, -6.86, and -8.26kJ/mol for T=283, 298, and 318K, respectively.",adsorption_thermodynamics
1675,10.1016/j.ijbiomac.2017.09.042,magnetic_separation,"""Hydrogel beads were withdrawn from BSA solutions by a magnet after adsorption.""",Magnetic recovery is operationally relevant for protein-loaded adsorbent separation.,"After 24h, the hydrogel beads were withdrawn from solutions by a magnet.",process_handling
1676,10.1016/j.ijbiomac.2017.09.042,magnetization_values,"{""mCS/PVA/Lap1"": ""8 emu/g"", ""mCS/PVA/Lap2"": ""4.8 emu/g"", ""mCS/PVA/Lap3"": ""2.7 emu/g"", ""mLap"": ""29.2 emu/g""}",Magnetic properties support separation claims but are not adsorption outcomes.,"The saturation magnetization values for neat mLap, mCS/PVA/Lap1, mCS/PVA/Lap2, and mCS/PVA/Lap3 were found to be 29.2, 8, 4.8, and 2.7emug−1, respectively.",hydrogel_physical_properties
1677,10.1016/j.ijbiomac.2017.09.042,desorption_behavior_magnetic_beads,"""BSA release from magnetic hydrogel beads occurred slowly in a sustained manner over 72 h.""",Reported as qualitative contrast to 95% release from neat beads in 10 h.,"However, the release of BSA from magnetic hydrogel beads occurred slowly in a sustaining manner over 72h.",desorption_results
1678,10.1021/la7033774,beta_lactamase_activity_underestimation,"""Adsorbed beta-lactamase masses may underestimate total adsorbed protein because calibration used free-protein activity.""","The quantitative adsorption assay measures active adsorbed enzyme, not necessarily total adsorbed mass.","Even if the amounts of adsorbed protein reported below are underestimated because the catalytic activity of the adsorbed protein decreases as compared to that of the free protein in solution... the comparison of the different samples is, however, relevant.",assay_limitations
1679,10.1021/la7033774,entry_3_polyOEGA_properties,"{""CA_cb_deg"": 33, ""CA_wd_deg"": 0, ""Ip"": 1.65, ""Mn_SEC_g_mol"": 33500, ""Mn_th_g_mol"": 34500, ""OEGA_In_mol_ratio"": ""100/1"", ""catalyst"": ""CuIBr"", ""conversion_pct"": 77, ""ligand"": ""Me6TREN"", ""time_min"": 20}",The same Table 2 entry 3 material was used for GFP and beta-lactamase protein adsorption tests.,"Sample 3 from Table 2 (Mn, poly(OEGA) = 33 500) was used... A sample modified under the conditions of entry 3 in Table 2 was used for the test with β-lactamase.",hydrogel_sample_properties
1680,10.1021/la7033774,commercial_substrate_water_content,"""BENZ FLEX 26 UV, equilibrium water content of 26 wt %""",Commercial intraocular-lens hydrogel identity and water content are relevant to hydrogel format and swelling but not full swelling ratio.,"Commercially available random poly(HEMA-co-MMA) hydrogels (BENZ FLEX 26 UV, equilibrium water content of 26 wt %) that are used for the fabrication of intraocular lenses were chosen as the substrate.",hydrogel_source_properties
1681,10.1002/smll.202004702,NPcat_layer_water_content,"""mwater/msolid = 118%; solid content 46 wt%""","Hydration was inferred by comparing QCM-D wet mass and SPR effective mass, important for hydrogel accessibility.",A water content (mwater/msolid) of 118% in the adsorbed NPcat layer can be estimated by comparing the results from QCM and SPR. This equals a layer solid content of 46 wt%.,hydrogel_properties
1682,10.1002/smll.202004702,NPcat_surface_cationic_groups,"""0.9 mmol g-1""",Quantifies cationic charge density relevant to protein adsorption.,The number of cationic surface groups of the prepared NPcat was 0.9 mmol g-1.,hydrogel_properties
1683,10.1002/smll.202004702,NPcat_degree_of_substitution,0.17,Defines extent of cellulose cationization.,Successful incorporation of the cationic moieties was proven... and a degree of substitution of 0.17 was determined by NMR spectroscopy.,hydrogel
1684,10.1002/smll.202004702,NPcat_electrophoretic_mobility,"""2.3 ± 0.6 µm cm V-1 s-1 in 5 x 10^-3 M NaCl""",Charge-related colloid property reported instead of zeta potential.,The electrophoretic mobility of the particles was measured to be 2.3 ± 0.6 µm cm V-1 s-1 (5 x 10^-3 M NaCl).,hydrogel_properties
1685,10.1002/smll.202004702,NPcat_layer_adsorption_on_CNF,"""QCM-D mVoigt 28.4 mg m-2; SPR approximately 13 mg m-2""",Nanogel layer formation amount before protein adsorption; demonstrates hydrated surface coating.,"The adsorbed amount measured by QCM-D and SPR corresponded to 28 and 13 mg m-2, respectively. Table 1 reports NPcat mVoigt 28.4 mg m-2.",hydrogel_properties
1686,10.1007/s00253-012-3999-y,PANI grafting yield,"""2.5% maximum grafting yield at 4.0 mol/L aniline""",Functional graft amount may explain adsorption enhancement but is not a standard hydrogel adsorption field.,A maximum grafting yield of 2.5% was observed with an aniline concentration of 4.0 mol/L.,hydrogel_characterization
1687,10.1007/s00253-012-3999-y,magnetization,"{""PANI_grafted_ferrogel"": ""31.2 emu/g"", ""bare_ferrogel"": ""45.7 emu/g""}",Magnetic response supports separability of the hydrogel films.,The specific saturation magnetization (σs) was found to be 45.7 emu/g for the bare ferrogel films and 31.2 emu/g for the PANI-grafted ferrogel films.,hydrogel_characterization
1688,10.1007/s00253-012-3999-y,iron oxide content,"""165 mg/g dry ferrogels""",Composite filler loading is relevant to magnetic hydrogel identity.,"The presence of Fe3O4 nanoparticles was also confirmed by gravimetric analysis, and the amount of precipitated iron oxide crystal in the ferrogel film structure was 165-mg/g dry ferrogels.",hydrogel_characterization
1689,10.1007/s00253-012-3999-y,wet ferrogel thickness,"""about 0.045 cm""",Film geometry may matter for adsorption but is not captured in standard scalar fields.,The thickness of the wet ferrogel was about 0.045 cm.,hydrogel_geometry
1690,10.1007/s00253-012-3999-y,GA activity retained after thermal treatment,"{""adsorbed_GA_65C_120min"": ""89%"", ""adsorbed_GA_75C_120min"": ""42%"", ""adsorbed_crosslinked_GA_65C_120min"": ""92%"", ""adsorbed_crosslinked_GA_75C_120min"": ""69%"", ""free_GA_65C_120min"": ""67%"", ""free_GA_75C_120min"": ""26%""}","Thermal stability is a biointerface/function outcome after immobilization, not direct adsorption.","After a 120-min heat treatment at 65 °C, adsorbed and adsorbed/cross-linked GA retained about 89% and 92% of their initial activities. On the other hand, at 75 °C, these values were 42% and 69%, respectively.",immobilized_enzyme_stability
1691,10.1007/s00253-012-3999-y,operational stability,"{""adsorbed_GA_after_10_cycles"": ""73% initial activity preserved"", ""adsorbed_GA_after_20_cycles"": ""34% initial activity lost"", ""adsorbed_crosslinked_GA_after_10_cycles"": ""87% initial activity preserved"", ""adsorbed_crosslinked_GA_after_20_cycles"": ""18% initial activity lost""}",Repeated-use function differentiates adsorption and adsorption/cross-linking but is not direct protein uptake.,"Up to ten cycles, the adsorbed and adsorbed/cross-linked GA preparations preserved their initial activities about 73% and 87%, respectively. At the end of 20 cycles, the adsorbed and adsorbed/cross-linked GA preparations lost about their initial activities 34% and 18%, respectively.",immobilized_enzyme_reuse
1692,10.1016/j.chroma.2018.03.022,Ni2+ chelated amount,"""15.6 mg/g particles""",Metal loading is directly relevant to IMAC adsorption capacity but is not a standard adsorption outcome field.,The amount of Ni2+ ions chelated on O-CMCS particles was measured as 15.6 mg/g particles.,hydrogel_characterization
1693,10.1016/j.chroma.2018.03.022,Ni2+ leakage,"""no leakage found""",Stability of immobilized metal ion affects adsorbent reuse and contamination risk.,"In order to research Ni2+ ions leaking from Ni2+-attached O-CMCS particles, some experiments referred above were tested, and no leakage was found.",hydrogel_stability
1694,10.1016/j.chroma.2018.03.022,surface area,"{""Ni2+-O-CMCS-CCs"": ""76.6 m2/g"", ""O-CMCS particles"": ""85.4 m2/g"", ""cryogel"": ""49.7 m2/g""}",BET surface area helps explain increased adsorption performance of composite cryogels.,"The surface area of cryogel, O-CMCS particles, and Ni2+-O-CMCS-CCs were measured as 49.7, 85.4 and 76.6 m2/g, respectively by BET method.",hydrogel_characterization
1695,10.1016/j.chroma.2018.03.022,swelling ratio discrepancy,"{""O-CMCS_particles_characterization_section"": ""647%"", ""O-CMCS_particles_concluding_remarks"": ""697%"", ""composite_cryogel"": ""91.2%""}",Two different O-CMCS particle swelling ratios appear in supplied context and require manual reconciliation.,"The swelling ratios of O-CMCS particles and composite cryogels were determined to be 647% and 91.2%, respectively. In concluding remarks: outcomes of particles and composite cryogel outputs were recorded as 697% and 91.2%, respectively.",data_quality_flags
1696,10.1016/j.chroma.2018.03.022,cryogel pore size,"{""composite_cryogel"": ""approximately 2-10 μm diameter"", ""lysozyme_size"": ""27.3 Å diameter"", ""plain_cryogel"": ""10-50 μm diameter""}",Pore size and protein size are used by authors to argue low mass-transfer resistance.,plain cryogels have ... interconnected paths of 10-50 μm in diameter ... composite cryogels ... have porosity of approximately 2-10 μm in diameter. There is practically no mass transfer resistance because of the size of lysozyme (27.3 Å in diameter).,transport_properties
1697,10.1007/s00216-023-04834-0,mouse_IgG_LOD,"""0.018 nM""","Primary quantitative assay performance metric, not an adsorption capacity.",The assay detected mouse IgG down to 0.018 nM.,sensor_performance
1698,10.1007/s00216-023-04834-0,mouse_IgG_linear_range,"""0.02-5 nM; R2 = 0.98759""",Calibration range for hydrogel etalon immunoassay.,Linear relationship was observed over 0.02-5 nM with R2 = 0.98759.,sensor_performance
1699,10.1007/s00216-023-04834-0,microgel_DLS_response,"{""4CN_HRP_H2O2_after_30_min"": ""699 +/- 9 nm"", ""4CN_solution"": ""518 +/- 3 nm"", ""DI_water"": ""823 +/- 5 nm"", ""H2O2_HRP_methanol_control"": ""849 +/- 7 nm""}",Mechanistic hydrogel response to substrate and HRP reaction.,"DLS measured hydrodynamic diameter changes in DI water, 4CN, HRP reaction, and controls.",hydrogel_response
1700,10.1007/s00216-023-04834-0,surface_XPS_sequence,"{""Biotin-PEG-SH"": {""Au_4f_pct"": ""9.0 +/- 0.3"", ""C_1s_pct"": ""63.2 +/- 0.9"", ""N_1s_pct"": ""0.5 +/- 0.4"", ""O_1s_pct"": ""26.8 +/- 0.8"", ""S_2p_pct"": ""0.5 +/- 0.3""}, ""Etalon"": {""Au_4f_pct"": ""22 +/- 4"", ""C_1s_pct"": ""59 +/- 3"", ""N_1s_pct"": ""3 +/- 1"", ""O_1s_pct"": ""15.6 +/- 0.8"", ""S_2p_pct"": ""0 +/- 0""}, ""GAM-biotin"": {""Au_4f_pct"": ""7.5 +/- 0.3"", ""C_1s_pct"": ""62.7 +/- 0.2"", ""N_1s_pct"": ""3.3 +/- 0.7"", ""O_1s_pct"": ""25.5 +/- 0.3"", ""S_2p_pct"": ""0.9 +/- 0.8""}, ""Streptavidin"": {""Au_4f_pct"": ""7.6 +/- 0.2"", ""C_1s_pct"": ""62.6 +/- 0.3"", ""N_1s_pct"": ""2.8 +/- 0.5"", ""O_1s_pct"": ""26.3 +/- 0.3"", ""S_2p_pct"": ""0.6 +/- 0.1""}}",Sequential protein/surface functionalization evidence by XPS.,Table 1 reports atomic percentages after each immobilization step.,surface_characterization
1701,10.1007/s00216-023-04834-0,selected_substrate_conditions,"""3 mg/mL 4CN methanol solution mixed with PBS at 1:5 volume ratio; 0.3% H2O2 selected""","Optimized optical assay chemistry, not adsorption chemistry.",The authors selected 3 mg/mL 4CN and 0.3% H2O2 for subsequent experiments.,assay_conditions
1702,10.1007/s00216-023-04834-0,microfluidic_sample_chamber,"""~30 uL chamber; sample volume reducible by reducing chamber and etalon size""",Device-specific sample handling note.,The current microfluidic chip has a sample chamber that can hold about 30 uL.,device_notes
1703,10.1007/s00216-023-04834-0,storage_state,"""biotin-PEG-SH-modified etalon can be stored dry for many months""",Device stability note relevant to assay deployment.,"At this stage, the sensor can be stored for many months since everything is dry.",device_notes
1704,10.3390/bios15050326,tear_lysozyme_physiological_concentration,"""around 1.33 mg/mL; reported range 1.4 to 2.1 mg/mL""",Provides biological concentration context for adsorption/detection sensitivity.,"The physiological concentration of Lys in tears is around 1.33 mg/mL, with some studies suggesting a range of 1.4 to 2.1 mg/mL.",biofluid_context
1705,10.3390/bios15050326,basal_tear_volume,"""about 7 µL in each eye""",Explains motivation for contact-lens capture instead of conventional tear collection.,The small volume of basal tears is about 7 µL in each eye.,biofluid_context
1706,10.3390/bios15050326,tear_production_rate,"""1 to 2 µL/min; tear volume replaced in 7 to 9 min""",Relevant to future dynamic capture capacity on-eye.,"Basal-level tears are produced at a rate of 1 to 2 µL per minute, and the total volume of tears in one eye is replaced in 7 to 9 min.",biofluid_context
1707,10.3390/bios15050326,pre_lens_and_post_lens_tear_film_thickness,"""2 to 8 µm""",May affect protein transport and collision frequency at the contact lens surface.,The PLTF and PoLTF have been reported to be 2 to 8 µm thick.,mass_transport_context
1708,10.3390/bios15050326,stable_multilayer_claim,"""multiple protein layers were stable and did not wash off SiHG lenses""",Key qualitative retention fact for protein-coated hydrogel interfaces.,The multiple protein layers were stable and did not wash off the SiHG lenses.,retention_stability
1709,10.3390/bios15050326,SiHG_negative_charge_claim,"""SiHG lenses contain free carboxyl groups giving net negative charge""",Mechanistic basis for lysozyme adsorption at pH 7.,"SiHG lenses are made using polymers that contain free carboxyl groups, giving the lens a net negative charge.",material_properties
1710,10.3390/bios15050326,lifetime_vs_intensity_observation,"""intensity varied by more than 10-fold, lifetime remained constant""",Important assay readout behavior independent of lens placement.,"In both cases the intensity varied by more than 10-fold, but the lifetime remained completely constant.",assay_readouts
1711,10.1007/s13233-011-0214-4,nanogel_hydrodynamic_size,"""smaller than 100 nm""",Particle/hydrodynamic size is relevant to nanogel carrier behavior but is not a direct adsorption metric.,"The aqueous nanogel solution of the heparin-Pluronic (HP) conjugate, exhibited higher stability than the micelles and smaller hydrodynamic size than 100 nm.",hydrogel_properties
1712,10.1007/s13233-011-0214-4,protein_structural_stability_after_encapsulation,"""maintained""",The paper reports preservation of antibody stability after encapsulation rather than protein adsorption capacity.,Circular dichroism (CD) and gel electrophoresis demonstrated that the stability of monoclonal antibodies (3D8 scFv) encapsulated into the HP nanogel had been maintained.,biointerface_response
1713,10.1002/sstr.202600004,missing_peptide_footprint_principle,"""Peptides from crosslinked surface regions remain trapped in the gel and are depleted from recovered digest.""",The hydrogel adsorption outcome is translated into a signal-off LC-MS/MS structural footprint rather than a conventional capacity measurement.,"After extensive washing and in-gel digestion, peptides from crosslinked surface regions remain trapped in the gel matrix and are therefore depleted from the recovered digest.",mechanistic_outcomes
1714,10.1002/sstr.202600004,lysozyme_adsorbed_amount_before_uv,"""8.4 nmol adsorbed by MIH-9-N3; >98% recovered with 1.0 M NaCl before UV""",This is the clearest quantitative adsorption/recovery value in the supplied article context.,"Prior to UV irradiation, >98% of the lysozyme adsorbed by MIH-9-N3 (8.4 nmol) was recovered by elution with 1.0 M NaCl.",adsorption_recovery
1715,10.1002/sstr.202600004,lysozyme_recovery_after_uv,"""<3% recovered, approximately 0.24 nmol""",Shows conversion from reversible adsorption to covalent immobilization after PFPA activation.,"After UV exposure, the amount of recovered lysozyme decreased to <3% of the adsorbed amount (~0.24 nmol).",photocrosslinking_retention
1716,10.1002/sstr.202600004,proteome_recovery_after_uv,"""22% recovery after UV versus 97% nonirradiated control""",Quantifies photocrosslinking-mediated retention for a complex proteome mixture.,The recovery of adsorbed proteins was 22% (cf. 97% for the nonirradiated control).,photocrosslinking_retention
1717,10.1002/sstr.202600004,minimal_lysate_input,"""as little as 500 ng of lysate, approximately 2000 cells, per MIH adsorption assay""",Reports unusually low proteome sample requirement for hydrogel footprinting.,MIH-10-N3 enabled proteome-scale structural readouts from minimal input material [as little as 500 ng of lysate (~2000 cells) per MIH adsorption assay].,assay_requirements
1718,10.1002/sstr.202600004,proteome_scale_changed_peptides,"""4684 peptides from 2115 proteins decreased after UV; 179 peptides from 175 proteins increased""",Summarizes scale and directionality of the signal-off hydrogel footprint.,"The corresponding volcano plot revealed that the levels of 4684 peptides (originating from 2115 proteins) markedly decreased upon UV irradiation, whereas those of 179 peptides (175 proteins) notably increased.",proteomics_outcomes
1719,10.1002/sstr.202600004,rapamycin_FKBP_response,"""FKBP1A, FKBP1B, FKBP3, FKBP4, FKBP5, and FKBP10 peptides upregulated with rapamycin; FKBP4 FSFDLGK highlighted""",Demonstrates ligand-dependent structural response in complex lysate using imprinted hydrogel adsorption/photocrosslinking.,"A cluster of peptides derived exclusively from FKBP family proteins (FKBP1A, FKBP1B, FKBP3, FKBP4, FKBP5, and FKBP10), all of which were significantly upregulated in the presence of rapamycin.",ligand_response
1720,10.1002/sstr.202600004,PFPA_installation_marker,"""new IR band around 2100 cm-1 after PFPA functionalization""",Confirms azide-bearing photoreactive hydrogel functionalization.,A new band around 2100 cm-1 emerged in the attenuated total reflection infrared spectroscopy spectra of the hydrogels after PFPA functionalization.,material_characterization
1721,10.1007/s00216-004-2850-4,hydrogel_apparent_thickness_by_confocal,"""70-90 um""",Hydrogel thickness affects diffusion and 3D immobilization geometry but is not a standard adsorption outcome.,"Apparent hydrogel thicknesses of 70-90 μm were determined by imaging their light scattering, collecting the back-reflected light, in confocal reflection mode.",hydrogel_properties
1722,10.1007/s00216-004-2850-4,estimated_preparation_thickness,"""approximately 100 um""",Film preparation used Teflon tape spacer and estimated film thickness.,Teflon tape (thickness approximately 100 μm) was used as a spacer. ... The estimated thickness of the hydrogel films was approximately 100 μm.,hydrogel_properties
1723,10.1007/s00216-004-2850-4,fluorescence_depth_location,"""maximum signal about 35 um from air-gel interface; CT-Cy3 maxima at 36 and 38 um for 35 and 70 ug mL-1 applied CT-Cy3""",Shows protein localization inside the gel rather than only at the surface.,"Fluorescence from immobilized toxins was observed within the gel with the maximum signal occupying a depth of about 35 μm from the air-gel interface. ... maximum fluorescent intensities ... located at 36 and 38 μm for spots from 35 and 70 μg mL −1 applied CT-Cy3, respectively.",biointerface_response
1724,10.1007/s00216-004-2850-4,qd_size_diffusion,"""streptavidin-coated QD reagent 10-15 nm and approximately three times larger in molecular volume than IgGs""",Diffusion of large QD detection reagent through hydrogel is a notable material-performance fact.,The size of the streptavidin-coated QD reagent is comparable with a large protein (10-15 nm). ... This study shows that these large reagents approximately three times larger in molecular volume than IgGs can diffuse into the hydrogels and be used to detect bound target.,special_reagent_transport
1725,10.1007/s00216-004-2850-4,negative_control,"""nonbiotinylated antibodies did not produce observed streptavidin-QD arrays""",Specificity control for QD detection chemistry.,"Control experiments showed that when nonbiotinylated antibodies were incubated with the immobilized toxin, we did not observe arrays of the streptavidin-QD reagent.",controls
1726,10.1007/s00216-004-2850-4,ct_lowest_detected_level,"""25 ug mL-1 applied CT; 45 pg total applied CT""",Detection threshold is central to assay performance but not an adsorption capacity.,The lowest detected level of CT was seen at an applied concentration of 25 μg mL −1 (45 pg total applied CT).,assay_detection_limits
1727,10.1007/s00216-004-2850-4,seb_applied_range,"""1.56-50 ug mL-1; 2.81-90 pg applied protein per spot""",Links spotting concentration to absolute protein per microarray spot.,Unlabeled SEB was arrayed onto each type of gel at concentrations from 1.56 to 50 μg mL −1 (corresponding to between 2.81 and 90 pg applied protein per spot).,assay_loading
1728,10.1007/s00216-004-2850-4,ct_applied_range,"""1.56-200 ug mL-1; 2.81-360 pg applied protein per spot""",Links spotting concentration to absolute protein per microarray spot.,Arrays of unlabeled CT with concentrations from 1.56 to 200 μg mL −1 (corresponding to between 2.81 and 360 pg applied protein per spot) were spotted on to each type of hydrogel.,assay_loading
1729,10.1002/jbm.b.31204,artificial_tear_solution_composition,"""3.88 g/L bovine serum albumin; 1.66 g/L bovine serum immunoglobulin; 1.20 g/L chicken egg-white lysozyme in PBS""",Protein adsorption was measured for a defined protein mixture rather than a single target protein.,"An artificial tear solution containing 3.88 g/L of bovine serum albumin, 1.66 g/L of bovine serum immunoglobulin, and 1.20 g/L of chicken egg-white lysozyme dissolved in PBS was prepared.",protein_adsorption_conditions
1730,10.1002/jbm.b.31204,M3_relative_adsorption_vs_commercial_lenses,"""M3 adsorption was reported as 30% of Omafilcon A and 3% of Etafilcon A.""",Provides relative antifouling performance versus commercial contact lenses.,"The amount of protein adsorbed on this hydrogel was 0.9 μg/cm2, which accounted for 30% of Omafilcon A and 3% of Etafilcon A.",comparative_adsorption
1731,10.1002/jbm.b.31204,ultra_hydrophilicity_contact_angle_limitation,"""M3 and T1 contact angles were not measured because air bubbles could not attach; authors estimated nearly 0°.""",Contact angle is reported qualitatively due to measurement failure caused by ultra-hydrophilicity.,The air bubbles could not attach themselves to the surfaces of M3 and T1 for measurement and immediately flew off the surfaces. The water contact angles of M3 and T1 were estimated to be nearly 0°.,hydrogel_surface_properties
1732,10.1002/jbm.b.31204,network_dimension_vs_protein_size,"""M3 network dimension about 3 nm; T1 about 6 nm; albumin 6 × 10 × 6 nm; lysozyme 8 × 8 × 4 nm.""",Authors used network-protein size comparison to explain adsorption/absorption differences.,"The size of albumin and lysozyme are 6 × 10 × 6 nm and 8 × 8 × 4 nm, respectively. Whereas, the average network dimension of M3 and T1 hydrogel is about 3 and 6 nm, respectively.",mechanism_annotations
1733,10.3390/polym13111793,hydrogel_coating_thickness_vs_HA,"""18 ± 1 µm at 0 mg/mL HA; 19 ± 0.5 µm at 2 mg/mL HA; 22 ± 3 µm at 5 mg/mL HA; 41 ± 2 µm at 10 mg/mL HA""",Quantitative hydrogel coating thickness is reported but is not a protein adsorption metric.,"An increase of the thickness is measured from 18 ± 1 µm, 19 ± 0.5 µm, and 22 ± 3 µm to 41 ± 2 µm when the proportion of HA is increased from 0 to 2, 5 and 10 mg/mL respectively.",hydrogel_physical_properties
1734,10.3390/polym13111793,storage_modulus_vs_HA,"""G' roughly 2 kPa at 0 mg/mL HA; 1.15 kPa at 2 mg/mL HA; 0.47 kPa at 5 mg/mL HA; 0.20 kPa at 10 mg/mL HA""",Mechanical tuning by HA concentration is central to the article but outside protein adsorption extraction.,"By increasing the HA concentration used to get the hydrogel from 2, 5 to 10 mg/mL, the G′ value measured of each hybrid hydrogel decreases to 1.15, 0.47 and 0.20 kPa respectively.",hydrogel_mechanical_properties
1735,10.3390/polym13111793,cell_viability_on_hydrogel_coatings,"""Cell viability ≥95% for all studied hydrogels except 10 mg/mL HA hydrogel, which was 88.4 ± 2.0%; naked glass control was 96.9 ± 1.9%""","Biointerface response is measured, but it is cell viability rather than protein adsorption.","In comparison with naked glass slides used as control (96.9 ± 1.9% cell viability), cell viability values are excellent for all hydrogels under study with values ≥ 95%, except in the case of the hydrogel containing the highest HA content (10 mg/mL) which is a bit lower (88.4 ± 2.0% cell viability).",biointerface_cell_response
1736,10.3390/polym13111793,alkaline_phosphatase_adsorbed_on_multilayer,"""PEI/(PSS/PAH)2/AP enzymatically active thin film""","A protein enzyme is adsorbed on a polyelectrolyte multilayer, but this is not hydrogel protein adsorption and no adsorption capacity is reported.","This multilayer is capped with a polycationic layer due to PAH, allowing the adsorption of AP, and leading to the enzymatically active thin film PEI/(PSS/PAH)2/AP.",enzyme_immobilization_context
1737,10.1016/j.carbpol.2016.04.024,hydrogel_formulations,"[{""PVA_g"": 1, ""alginate_g"": 1, ""density_g_cm3"": ""0.92 ± 0.03"", ""hydrogel_id"": ""H"", ""magnetic_laponite_RD_g"": 0, ""wet_dried_diameter_mm"": ""4.01/2.1"", ""yield_wt_pct"": 93.6}, {""PVA_g"": 1, ""alginate_g"": 1, ""density_g_cm3"": ""1.07 ± 0.02"", ""hydrogel_id"": ""mNH1"", ""magnetic_laponite_RD_g"": 0.4, ""wet_dried_diameter_mm"": ""3.88/1.85"", ""yield_wt_pct"": 95.2}, {""PVA_g"": 1, ""alginate_g"": 1, ""density_g_cm3"": ""1.22 ± 0.02"", ""hydrogel_id"": ""mNH2"", ""magnetic_laponite_RD_g"": 0.8, ""wet_dried_diameter_mm"": ""3.83/1.81"", ""yield_wt_pct"": 94.5}, {""PVA_g"": 0.5, ""alginate_g"": 1.5, ""density_g_cm3"": ""1.2 ± 0.03"", ""hydrogel_id"": ""mNH3"", ""magnetic_laponite_RD_g"": 0.8, ""wet_dried_diameter_mm"": ""3.52/1.79"", ""yield_wt_pct"": 91.2}]",Hydrogel sample composition and bead physical dimensions are central to interpreting adsorption comparisons.,"Table 1 reports PVA, alginate, magnetic laponite RD, yield, wet/dried bead diameter, and density for H, mNH1, mNH2, and mNH3.",materials_hydrogel_formulations
1738,10.1016/j.carbpol.2016.04.024,point_of_zero_charge,"""pHpzc of beads was 4.7-4.8""",The pHpzc is used by the authors to explain pH-dependent BSA adsorption and desorption.,"To discuss the pH-dependent adsorption behavior of the beads, the pHpzc of the beads was 4.7–4.8.",hydrogel_surface_charge
