id,doi,name,role,context,pubchem_query,needs_manual_normalization,enrichment_json
1312,10.1021/bm5009525,Cibacron Blue,dye released from Blue Dextran during Dextranase assay,"Dextranase activity was monitored by measuring released dye complex, Cibacron Blue, from Blue Dextran 2000.",Cibacron Blue,1,
1313,10.1021/bm5009525,sodium chloride,buffer salt,"PBS, acetate, phosphate, and carbonate buffers included 140 mM NaCl.",sodium chloride,0,
1314,10.1021/bm5009525,potassium chloride,buffer salt,PBS and phosphate buffer included 3 mM KCl.,potassium chloride,0,
1315,10.1021/bm5009525,phosphate buffer,experimental buffer,"10 mM phosphate buffer, 140 mM NaCl, 3 mM KCl, pH 7.4.",phosphate buffer,1,
1316,10.1021/bm5009525,acetate buffer,experimental buffer,"10 mM acetate buffer, 140 mM NaCl, pH 5.4.",acetate buffer,1,
1317,10.1021/bm5009525,carbonate buffer,experimental buffer,"10 mM carbonate buffer, 140 mM NaCl, pH 9.4.",carbonate buffer,1,
1318,10.1021/bm5009525,Alexa Fluor-488 carboxylic acid succinimidyl ester,fluorescent labeling reagent,Used for fluorescence/confocal microscopy experiments.,Alexa Fluor 488 succinimidyl ester,1,
1319,10.1021/bm5009525,Concanavalin A/Alexa Fluor 633 conjugate,fluorescent protein conjugate for CLSM,Obtained from Invitrogen for ConA imaging.,Concanavalin A Alexa Fluor 633 conjugate,1,
1320,10.1080/01496395.2014.898660,4-vinyl phenyl boronic acid,boronate affinity monomer/ligand,VPBA was polymerized with HEMA to synthesize poly(HEMA-VPBA) monoliths for IgG separation.,4-vinyl phenyl boronic acid,1,
1321,10.1080/01496395.2014.898660,2-hydroxyethyl methacrylate,monomer,HEMA was used in both poly(HEMA-VPBA) monolith synthesis and PHEMA cryogel synthesis.,2-hydroxyethyl methacrylate,0,
1322,10.1080/01496395.2014.898660,poly(2-hydroxyethyl methacrylate),cryogel matrix polymer,PHEMA cryogel embedded crushed poly(HEMA-VPBA) particles to prepare monolithic HPLC composite columns.,poly(2-hydroxyethyl methacrylate),1,
1323,10.1080/01496395.2014.898660,poly(HEMA-VPBA),boronate-affinity embedded particle phase,Poly(HEMA-VPBA) monoliths were crushed into fine particles and embedded into PHEMA cryogels.,poly HEMA VPBA,1,
1324,10.1080/01496395.2014.898660,"N,N'-methylene bisacrylamide",crosslinker,MBAAm was used in composite cryogel preparation.,"N,N'-methylene bisacrylamide",0,
1325,10.1080/01496395.2014.898660,ethylene glycol dimethylacrylate,crosslinker,EGDMA was added as crosslinker during poly(HEMA-VPBA) monolith polymerization.,ethylene glycol dimethacrylate,1,
1326,10.1080/01496395.2014.898660,ammonium persulfate,initiator,APS was added during composite cryogel preparation.,ammonium persulfate,0,
1327,10.1080/01496395.2014.898660,potassium persulphate,initiator,KPS was added to the poly(HEMA-VPBA) monolith polymerization mixture.,potassium persulfate,1,
1328,10.1080/01496395.2014.898660,"N,N,N',N'-tetramethylethylene diamine",polymerization accelerator,TEMED was added during composite cryogel preparation.,"N,N,N',N'-tetramethylethylenediamine",1,
1329,10.1080/01496395.2014.898660,4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid,organic buffering solvent,HEPES was used as organic buffering solvent in poly(HEMA-VPBA) monolith synthesis.,HEPES,0,
1330,10.1080/01496395.2014.898660,toluene,poremaker and diluent,Toluene was used as poremaker and diluent in poly(HEMA-VPBA) monolith synthesis.,toluene,0,
1331,10.1080/01496395.2014.898660,sodium chloride,desorption agent,IgG molecules were desorbed using 0.5 M NaCl solution.,sodium chloride,0,
1332,10.1080/01496395.2014.898660,sodium hydroxide,regeneration and sterilization agent,50 mM NaOH solution and distilled water were used to wash the column after desorption.,sodium hydroxide,0,
1333,10.1080/01496395.2014.898660,potassium bromide,void marker,KBr was used as the void marker in HPLC selectivity experiments.,potassium bromide,0,
1334,10.3390/gels6010004,2-hydroxyethyl methacrylate,monomer,"HEMA (1.3 mL), as a monomer, was used to prepare p(HEMA) cryogel columns.",2-hydroxyethyl methacrylate,0,
1335,10.3390/gels6010004,methylene bisacrylamide,crosslinker,MBBAM/MBAAM was used as a cross linker in p(HEMA) cryogel preparation.,"N,N'-methylenebisacrylamide",1,
1336,10.3390/gels6010004,cyanamide,activation reagent for ligand immobilization,The p(HEMA) cryogel column was activated by using cyanamide; 5.0 mg/mL cyanamide solution at pH 7.4 was passed through the column for 24 h.,cyanamide,0,
1337,10.3390/gels6010004,ammonium persulfate,initiator,20 mg APS as an initiator was added in the polymer mixture.,ammonium persulfate,0,
1338,10.3390/gels6010004,"N,N,N′,N′-tetramethylene diamine",stabilizator,"25 µL of TEMED, as a stabilizator, was added in the solution.","N,N,N',N'-tetramethylethylenediamine",1,
1339,10.3390/gels6010004,MES,buffer,Maximum adsorbed amount of hIgM corresponded to 11.1 mg/g at pH 5.75 MES buffer.,2-(N-morpholino)ethanesulfonic acid,0,
1340,10.3390/gels6010004,HEPES,buffer,Hydroxyethylpiperazine ethane sulfonic acid was listed among reagents used.,HEPES,0,
1341,10.3390/gels6010004,Tris-HCl,buffer,Tris(hydroxymethyl)aminomethane hydrochloride was listed among reagents used.,Tris hydrochloride,0,
1342,10.3390/gels6010004,sodium chloride,ionic strength modifier and desorption agent,NaCl was scanned at 0-0.5 mM for ionic strength effects and 1.0 M NaCl was used to desorb hIgM.,sodium chloride,0,
1343,10.3390/gels6010004,sodium hydroxide,sterilization and regeneration reagent,The p(HEMA-I) column was sterilized with 50 mM NaOH solution; p(HEMA) was sterilized with 0.1 M NaOH before anti-IgM attachment.,sodium hydroxide,0,
1344,10.3390/gels6010004,sodium azide,storage preservative,The p(HEMA-I) cryogel column was stored in 0.02% sodium azide solution at 4 °C until further use.,sodium azide,0,
1345,10.3390/gels6010004,mercaptoethanol,SDS-PAGE reducing reagent,"Prior to analysis, disulfide bonds of hIgM were broken by mercaptoethanol at 70 °C for 10 min.",2-mercaptoethanol,0,
1346,10.3390/gels6010004,Coomassie Brilliant G 250,protein gel stain,SDS-PAGE gel was stained with Coomassie Brilliant G 250.,Coomassie Brilliant Blue G-250,0,
1347,10.3390/molecules25081927,ethanol,chemical denaturant and gelation trigger,Ethanol was added to BSA precursor solutions to induce denaturation and hydrogel formation at 37 C and neutral pH.,ethanol,0,
1348,10.3390/molecules25081927,stearic acid,fatty acid ligand/probe,Stearic acid was used to study fatty acid effects on gelation and binding capacity.,stearic acid,0,
1349,10.3390/molecules25081927,16-DOXYL stearic acid,spin-labeled fatty acid EPR probe,16-DSA was used in CW EPR spectroscopy to monitor fatty acid binding and tumbling dynamics.,16-doxyl stearic acid,0,
1350,10.3390/molecules25081927,potassium hydroxide,base/solubilization reagent,Stearic acid was dissolved first in 0.1 M KOH before addition to hydrogel precursor solution.,potassium hydroxide,0,
1351,10.3390/molecules25081927,hydrochloric acid,pH adjustment reagent in comparator gelation method,pH-induced gelation comparator used pH 3.5 set with 2 M HCl.,hydrochloric acid,0,
1352,10.1002/app.24127,2-hydroxyethyl methacrylate,monomer,HEMA was purified and polymerized to synthesize PHEMA sponges.,2-hydroxyethyl methacrylate,0,
1353,10.1002/app.24127,poly(2-hydroxyethyl methacrylate),hydrogel polymer backbone,Macroporous spongy materials based on PHEMA adsorbed fibrinogen.,poly(2-hydroxyethyl methacrylate),1,
1354,10.1002/app.24127,ethylene glycol dimethacrylate,crosslinker,"EGDMA concentration affected swelling, fibrinogen adsorption, clot weight, and hemolysis.",ethylene glycol dimethacrylate,0,
1355,10.1002/app.24127,potassium persulfate,redox initiator,KPS was used with potassium metabisulfite to initiate polymerization.,potassium persulfate,0,
1356,10.1002/app.24127,potassium metabisulfite,redox initiator component,Used with KPS in the redox polymerization of HEMA.,potassium metabisulfite,0,
1357,10.1002/app.24127,ethylene glycol,cosolvent,Used as a cosolvent in PHEMA sponge synthesis.,ethylene glycol,0,
1358,10.1002/app.24127,phosphate-buffered saline,adsorption buffer,Protein solutions for adsorption experiments were made in 0.5 M PBS at pH 7.4.,phosphate buffered saline,1,
1359,10.1002/app.24127,potassium iodide,simulated biological fluid solute,KI 15% w/v medium reduced fibrinogen adsorption to 158.6 ug/cm2.,potassium iodide,0,
1360,10.1002/app.24127,urea,simulated biological fluid solute,Urea 5% w/v medium reduced fibrinogen adsorption to 102.8 ug/cm2; synthetic urine contained urea 21% w/v.,urea,0,
1361,10.1002/app.24127,D-glucose,simulated biological fluid solute,D-glucose 5% w/v medium gave fibrinogen adsorption of 110.4 ug/cm2.,D-glucose,0,
1362,10.1002/app.24127,sodium chloride,salt,Saline water 0.9% w/v NaCl and synthetic urine NaCl 0.8% w/v were adsorption media.,sodium chloride,0,
1363,10.1002/app.24127,magnesium sulfate,synthetic urine component,Synthetic urine contained MgSO4 0.10% w/v.,magnesium sulfate,0,
1364,10.1002/app.24127,calcium chloride,synthetic urine component and clotting reagent,Synthetic urine contained CaCl2 0.06% w/v; CaCl2 solution was used to start thrombus formation.,calcium chloride,0,
1365,10.1002/jbm.b.33104,2-hydroxyethyl methacrylate,monomer,Used to synthesize pHEMA cryogels.,2-hydroxyethyl methacrylate,0,
1366,10.1002/jbm.b.33104,"N,N'-methylenebisacrylamide",crosslinker,Used with HEMA at a 6:1 HEMA:MBAA molar ratio.,"N,N'-methylenebisacrylamide",0,
1367,10.1002/jbm.b.33104,l-lysine,cationic affinity ligand,Functional group on pHEMA-lys; positively charged amino groups bind heparin.,L-lysine,0,
1368,10.1002/jbm.b.33104,Boc-Lys(Boc)-OH DCHA,protected lysine precursor,Used for functionalization of pHEMA before TFA deprotection.,Boc-Lys(Boc)-OH dicyclohexylamine,1,
1369,10.1002/jbm.b.33104,ammonium persulfate,polymerization initiator,APS/TEMED used for pHEMA cryogel synthesis.,ammonium persulfate,0,
1370,10.1002/jbm.b.33104,TEMED,polymerization accelerator,APS/TEMED used for pHEMA cryogel synthesis.,"N,N,N',N'-tetramethylethylenediamine",1,
1371,10.1002/jbm.b.33104,DIC,coupling reagent,Used with DMAP during lysine functionalization of pHEMA.,"N,N'-diisopropylcarbodiimide",1,
1372,10.1002/jbm.b.33104,DMAP,coupling catalyst,Used with DIC during lysine functionalization of pHEMA.,4-dimethylaminopyridine,1,
1373,10.1002/jbm.b.33104,trifluoroacetic acid,deprotection reagent,Used to deprotect Boc groups and form free amino groups.,trifluoroacetic acid,0,
1374,10.1002/jbm.b.33104,sodium chloride,wash/desorption salt,1 M NaCl used in washing; 3 M NaCl released 95% of adsorbed heparin.,sodium chloride,0,
1375,10.1002/jbm.b.33104,heparin,primary non-protein adsorbate and plasma competitor,Main adsorption target of pHEMA-lys; human plasma was heparinized to 100 IU/mL.,heparin,1,
1376,10.1007/s10570-020-02974-5,cellulose,main hydrogel backbone,Microcrystalline cellulose was used as the main supporting material for hydrogel microbeads.,cellulose,0,
1377,10.1007/s10570-020-02974-5,chitosan,biopolymer blend; positive charge modifier,Chitosan shifted cellulose/Fe3O4 hydrogel microbeads to a more positive net charge.,chitosan,0,
1378,10.1007/s10570-020-02974-5,kappa-carrageenan,biopolymer blend; negative charge modifier,Carrageenan introduced sulfate groups and shifted cellulose/Fe3O4 hydrogel microbeads to a more negative net charge.,kappa carrageenan,1,
1379,10.1007/s10570-020-02974-5,alkali lignin,biopolymer blend; hydrophobic modifier,Alkali lignin was blended with cellulose and gave the highest lipase loading in Table 3.,alkali lignin,1,
1380,10.1007/s10570-020-02974-5,organosolv lignin,biopolymer blend; hydrophobic modifier,Organosolv lignin increased surface hydrophobicity and decreased BSA adsorption.,organosolv lignin,1,
1381,10.1007/s10570-020-02974-5,starch,biopolymer blend; hydrophilic modifier,Starch increased hydrophilicity and provided hydroxyl groups that may stabilize lipase.,starch,0,
1382,10.1007/s10570-020-02974-5,Fe3O4,magnetic filler,Magnetic particles were entrapped in microbeads to enable magnetic recovery.,magnetite,0,
1383,10.1007/s10570-020-02974-5,1-ethyl-3-methylimidazolium acetate,ionic liquid cellulose/biopolymer solvent,Used in the [Emim][Ac]-in-oil emulsion for sol-gel microbead preparation.,1-ethyl-3-methylimidazolium acetate,0,
1384,10.1007/s10570-020-02974-5,Span 80,surfactant in emulsion preparation,Vacuum pump oil with 5 wt% Span 80 was used during microbead preparation.,Span 80,0,
1385,10.1007/s10570-020-02974-5,ethanol,regeneration anti-solvent/washing solvent,Ethanol was added to regenerate cellulose and biopolymers and aqueous ethanol was used for washing.,ethanol,0,
1386,10.1007/s11095-015-1834-8,poly(acrylic acid),hydrogel backbone,pAA was synthesized by RAFT polymerization and crosslinked with OEG to form microgels.,poly(acrylic acid),0,
1387,10.1007/s11095-015-1834-8,acrylic acid,monomer,Acrylic acid was polymerized by RAFT polymerization to synthesize pAA.,acrylic acid,0,
1388,10.1007/s11095-015-1834-8,oligo(ethylene glycol),crosslinker,OEG alcohol end-groups were condensed with pAA carboxylate side chains.,oligo(ethylene glycol),1,
1389,10.1007/s11095-015-1834-8,DMTMM,condensation reagent,DMTMM facilitated esterification between pAA carboxylates and OEG alcohol groups.,"4-(4,6-dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholinium chloride",0,
1390,10.1007/s11095-015-1834-8,Pluronic L35,continuous phase / surfactant,DMSO microdroplets were suspended in Pluronic L35 as the continuous phase.,Pluronic L35,1,
1391,10.1007/s11095-015-1834-8,dimethyl sulfoxide,microemulsion droplet solvent,pAA was dissolved in DMSO before addition to Pluronic L35 continuous phase.,dimethyl sulfoxide,0,
1392,10.1007/s11095-015-1834-8,4-methylmorpholine,reaction additive,NMM was added during microgel synthesis depending on molar ratios.,4-methylmorpholine,0,
1393,10.1007/s11095-015-1834-8,tetraethylene glycol,OEG source material,Listed among materials purchased from Sigma-Aldrich.,tetraethylene glycol,0,
1394,10.1007/s11095-015-1834-8,CPA-DB,RAFT chain transfer agent,Used in acrylic acid RAFT polymerization.,4-cyanopentanoic acid dithiobenzoate,0,
1395,10.1007/s11095-015-1834-8,A-CPA,RAFT initiator,Used in acrylic acid RAFT polymerization.,"4,4'-azobis(4-cyanopentanoic acid)",0,
1396,10.1007/s11095-015-1834-8,phosphate buffered saline,loading and release buffer,Proteins were loaded and released in PBS.,phosphate buffered saline,1,
1397,10.1007/s11095-015-1834-8,FITC,fluorescent labeling reagent,Lysozyme was labeled with FITC to image distribution within microgels.,fluorescein isothiocyanate,0,
1398,10.3390/pr9091674,wheat starch,hydrogel base component,"Hydrogel base included wheat starch, glycerol 85%, and purified water.",wheat starch,1,
1399,10.3390/pr9091674,glycerol,hydrogel base component,Hydrogel base included glycerol 85%.,glycerol,0,
1400,10.3390/pr9091674,purified water,hydrogel base component,Hydrogel base included purified water.,water,0,
1401,10.3390/pr9091674,sodium chloride,PBS component and albumin formulation excipient,PBS contained sodium chloride; commercial human albumin formulation also contained sodium chloride.,sodium chloride,0,
1402,10.3390/pr9091674,disodium hydrogen phosphate,PBS component,Phosphate-buffered sodium chloride contained disodium hydrogen phosphate.,disodium hydrogen phosphate,0,
1403,10.3390/pr9091674,potassium dihydrogen phosphate,PBS component,Phosphate-buffered sodium chloride contained potassium dihydrogen phosphate.,potassium dihydrogen phosphate,0,
1404,10.3390/pr9091674,sodium hydroxide,PBS component and albumin formulation excipient,PBS and commercial human albumin formulation contained sodium hydroxide.,sodium hydroxide,0,
1405,10.3390/pr9091674,sodium caprylate,albumin formulation excipient,Commercial human albumin contained sodium caprylate.,sodium caprylate,0,
1406,10.3390/pr9091674,"sodium N-acetyl-D,L-tryptophan",albumin formulation excipient,"Commercial human albumin contained sodium N-acetyl-D,L-tryptophan.",sodium N-acetyl-DL-tryptophan,1,
1407,10.1016/j.msec.2020.111390,Fe3O4,magnetic nanoparticle core,Fe3O4 superparamagnetic nanoparticles synthesized by co-precipitation and used as magnetic core of adsorbent.,magnetite,0,
1408,10.1016/j.msec.2020.111390,silver,metal nanoparticle coating/decorating layer,Fe3O4 nanostructures were decorated with Ag nanoparticles using AgNO3 and NaBH4.,silver,0,
1409,10.1016/j.msec.2020.111390,silica,protective coating,Fe3O4@Ag nanostructures were coated with SiO2 using TEOS to increase stability and dispersibility.,silicon dioxide,0,
1410,10.1016/j.msec.2020.111390,poly(N-isopropyl acrylamide),hydrogel/nanogel polymer backbone,Fe3O4@Ag@SiO2 nanostructures were modified with PNIPA nanogels for protein adsorption.,poly(N-isopropylacrylamide),1,
1411,10.1016/j.msec.2020.111390,N-isopropyl acrylamide,monomer,1.5 g NIPA used for PNIPA nanogel modification.,N-isopropylacrylamide,0,
1412,10.1016/j.msec.2020.111390,"N,N-methylene-bis-acrylamide",crosslinker,0.07 g BIS used as cross-linker during PNIPA nanogel synthesis.,"N,N'-methylenebisacrylamide",0,
1413,10.1016/j.msec.2020.111390,sodium dodecyl sulfate,surfactant,0.1 g SDS used during PNIPA nanogel synthesis.,sodium dodecyl sulfate,0,
1414,10.1016/j.msec.2020.111390,ammonium persulfate,initiator,20 mg APS initiator added for polymerization.,ammonium persulfate,0,
1415,10.1016/j.msec.2020.111390,tetraethoxysilane,silica precursor,8 mL TEOS added dropwise to coat Fe3O4@Ag heterostructures with silica.,tetraethyl orthosilicate,0,
1416,10.1016/j.msec.2020.111390,silver nitrate,silver precursor,25 mL of AgNO3 0.01 M used for Ag coating.,silver nitrate,0,
1417,10.1016/j.msec.2020.111390,sodium borohydride,reducing agent,10 mL of NaBH4 0.001 M added dropwise during Ag coating.,sodium borohydride,0,
1418,10.1016/j.msec.2020.111390,ferrous chloride tetrahydrate,iron precursor,FeCl2·4H2O used for Fe3O4 synthesis.,iron(II) chloride tetrahydrate,0,
1419,10.1016/j.msec.2020.111390,ferric chloride hexahydrate,iron precursor,FeCl3·6H2O used for Fe3O4 synthesis.,iron(III) chloride hexahydrate,0,
1420,10.1016/j.msec.2020.111390,ammonium hydroxide,base/reagent,NH4OH used in Fe3O4 synthesis and silica coating.,ammonium hydroxide,0,
1421,10.1016/j.msec.2020.111390,sodium hydroxide,desorption agent,1 M NaOH mixed with 0.1 M NaCl for BSA and HSA desorption.,sodium hydroxide,0,
1422,10.1016/j.msec.2020.111390,sodium chloride,wash/desorption salt,NaCl solution used for washing Fe3O4 precipitate; 0.1 M NaCl used with NaOH for desorption.,sodium chloride,0,
1423,10.1016/j.msec.2020.111390,acetate buffer,adsorption medium,pH 5.57 acetate buffer gave maximum BSA adsorption.,acetate,1,
1424,10.1016/j.msec.2020.111390,phosphate buffer,adsorption medium comparator,pH 7 phosphate buffer tested; low HSA adsorption attributed to phosphate ions.,phosphate,1,
1425,10.1016/j.msec.2020.111390,carbonate/bicarbonate buffer,adsorption medium comparator,pH 10 carbonate/bicarbonate buffer tested in pH optimization.,carbonate bicarbonate buffer,1,
1426,10.1016/j.chroma.2014.11.081,acrylamide,backbone monomer,pAAm cryogels were prepared by free radical cryo-polymerization of AAm.,acrylamide,0,
1427,10.1016/j.chroma.2014.11.081,"N,N'-methylene-bis-acrylamide",crosslinker,pAAm cryogels were prepared from AAm and MBAAm.,"N,N'-methylenebisacrylamide",0,
1428,10.1016/j.chroma.2014.11.081,(vinylbenzyl)trimethylammonium chloride,grafted mixed-mode ligand monomer,VBTAC was grafted onto pAAm matrices and provides quaternary amine and hydrophobic benzyl groups.,(vinylbenzyl)trimethylammonium chloride,1,
1429,10.1016/j.chroma.2014.11.081,benzyl-quaternary amine,mixed-mode ligand group,Cryogel has combinatorial functional ligands of anion-exchange amine and hydrophobic benzyl groups.,benzyl trimethyl ammonium,1,
1430,10.1016/j.chroma.2014.11.081,"N,N,N',N'-tetramethylethylenediamine",polymerization accelerator,TEMED was used in preparation of pAAm cryogels.,"N,N,N',N'-tetramethylethylenediamine",0,
1431,10.1016/j.chroma.2014.11.081,ammonium persulfate,polymerization initiator,APS was used in preparation of pAAm cryogels.,ammonium persulfate,0,
1432,10.1016/j.chroma.2014.11.081,potassium diperiodatocuprate,graft polymerization initiator,The graft polymerization was initiated by alkaline K5[Cu(HIO6)2].,potassium diperiodatocuprate,1,
1433,10.1016/j.chroma.2014.11.081,sodium hydroxide,alkaline graft polymerization reagent,K5[Cu(HIO6)2] solution was mixed with 1 M NaOH for graft polymerization.,sodium hydroxide,0,
1434,10.1016/j.chroma.2014.11.081,sodium chloride,"salt for adsorption modulation, elution, and regeneration",NaCl concentration was varied in BSA adsorption and used for elution and regeneration.,sodium chloride,0,
1435,10.1016/j.chroma.2014.11.081,Na2HPO4-NaH2PO4,phosphate buffer,Used as buffer for BSA adsorption and rabbit serum chromatography.,disodium hydrogen phosphate sodium dihydrogen phosphate buffer,1,
1436,10.1016/j.chroma.2014.11.081,HAc-NaAc,acetate buffer,Used for BSA adsorption at pH 4.0 and 4.7.,acetic acid sodium acetate buffer,1,
1437,10.1016/j.chroma.2014.11.081,Tris-HCl,chromatography buffer,Used as running buffer at pH 8.5 for rabbit serum separation.,Tris hydrochloride,0,
1438,10.1016/j.chroma.2014.11.081,Coomassie Brilliant Blue R-250,SDS-PAGE stain,Used to stain SDS-PAGE gel for protein purity estimation.,Coomassie Brilliant Blue R-250,0,
1439,10.1007/s10965-006-9076-4,N-t-butylacrylamide,monomer,Hydrogels were synthesized from N-t-butylacrylamide and acrylamide monomers.,N-tert-butylacrylamide,1,
1440,10.1007/s10965-006-9076-4,acrylamide,monomer,Hydrogels were synthesized from N-t-butylacrylamide and acrylamide monomers.,acrylamide,0,
1441,10.1007/s10965-006-9076-4,maleic acid,comonomer,Maleic acid comonomer amount was changed in the hydrogel series.,maleic acid,0,
1442,10.1007/s10965-006-9076-4,"N,N-methylene-bis-acrylamide",crosslinker,Used as the crosslinker in free-radical crosslinking copolymerization.,"N,N'-methylenebisacrylamide",1,
1443,10.1007/s10965-006-9076-4,ammonium persulfate,initiator,Used as the initiator.,ammonium persulfate,0,
1444,10.1007/s10965-006-9076-4,"N,N,N',N'-tetramethylethylenediamine",activator,Used as the activator.,"N,N,N',N'-tetramethylethylenediamine",0,
1445,10.1007/s10965-006-9076-4,methanol,polymerization solvent,Copolymerization was performed in methanol.,methanol,0,
1446,10.1021/bm900339q,acrylamide,hydrogel monomer,30% acrylamide/bis solution used to form polyacrylamide hydrogels; acrylamide concentration approximately 2.1 M in polymerization experiments.,acrylamide,0,
1447,10.1021/bm900339q,bis-acrylamide,hydrogel crosslinker,30% acrylamide/bis solution (29:1) used for hydrogel formation.,"N,N'-methylenebisacrylamide",1,
1448,10.1021/bm900339q,ammonium persulfate,free-radical initiator,1 uL of 10% APS added to initiate free radical copolymerization.,ammonium persulfate,0,
1449,10.1021/bm900339q,TEMED,polymerization accelerator,0.1 uL TEMED added with APS to initiate free radical copolymerization.,"N,N,N',N'-tetramethylethylenediamine",0,
1450,10.1021/bm900339q,beta-mercaptoethanol,reducing agent and free thiol competitor,"Used at 0%, 0.05%, 0.5%, or 1% depending on protocol; 0.5% beta-ME reduced cysteine-mediated immobilization.",2-mercaptoethanol,0,
1451,10.1021/bm900339q,2-(4-vinylbenzoylthio)acetic acid,alkene-containing thioester for N-terminal vinylbenzyl functionalization,Thioester 1d ligated to Protein G and GPRT to produce vinylbenzyl-functionalized protein monomers.,2-(4-vinylbenzoylthio)acetic acid,1,
1452,10.1021/bm900339q,4-vinylbenzoic acid,precursor to vinylbenzyl thioester,Used to synthesize 2-(4-vinylbenzoylthio)acetic acid 1d.,4-vinylbenzoic acid,0,
1453,10.1021/bm900339q,2-(4-pentenoylthio)acetic acid,alkene-containing thioester for N-terminal pentenyl functionalization,Thioester 1c ligated to Protein G to produce pentenyl-Protein G.,2-(4-pentenoylthio)acetic acid,1,
1454,10.1021/bm900339q,4-pentenoic acid,precursor to pentenyl thioester,Used to synthesize 2-(4-pentenoylthio)acetic acid 1c.,4-pentenoic acid,0,
1455,10.1021/bm900339q,sodium 2-mercaptoethanesulfonate,native chemical ligation reagent,Added at 30 mM final concentration during ligation of thioesters to N-terminal cysteine proteins.,sodium 2-mercaptoethanesulfonate,0,
1456,10.1021/bm900339q,betaine,ligation buffer component,5 mM betaine used in ligation buffer with 20 mM sodium phosphate at pH 7.5.,betaine,0,
1457,10.1021/bm900339q,iodoacetamide,cysteine alkylation reagent,Used at 10 mM final concentration to alkylate GPRT cysteines before immobilization experiments.,iodoacetamide,0,
1458,10.1021/bm900339q,FITC,fluorescent protein label,Fluorescein isothiocyanate labeled IgG Fc for in-gel binding assay.,fluorescein isothiocyanate,0,
1459,10.1021/bm900339q,guanine,GPRT enzymatic assay substrate,Added to assay immobilized GPRT activity by monitoring GMP formation.,guanine,0,
1460,10.1021/bm900339q,5-phospho-D-ribose 1-diphosphate,GPRT enzymatic assay substrate,PRPP solution added to assay immobilized GPRT activity.,5-phospho-D-ribose 1-diphosphate,1,
1461,10.1021/bm900339q,magnesium chloride,GPRT enzymatic assay buffer component,Reaction buffer contained 11 mM MgCl2.,magnesium chloride,0,
1462,10.1002/app.46740,1-vinyl-3-(2-amino-2-oxoethyl) imidazolium chloride,functional monomer; ionic liquid affinity group,Used as tailored ionic liquid [VAMIM]Cl to prepare MICM and provide weak interactions with proteins.,1-vinyl-3-(2-amino-2-oxoethyl) imidazolium chloride,0,
1463,10.1002/app.46740,"N,N'-methylenebis(acrylamide)",crosslinker,MBA amount varied from 0.04 to 0.12 mmol in MICM preparation.,"N,N'-methylenebisacrylamide",0,
1464,10.1002/app.46740,ammonium persulfate,initiator,50 uL APS aqueous solution used in membrane preparation.,ammonium persulfate,0,
1465,10.1002/app.46740,"N,N,N',N'-tetramethylethylenediamine",catalyst/accelerator,20 uL TEMED aqueous solution used in membrane preparation.,"N,N,N',N'-tetramethylethylenediamine",0,
1466,10.1002/app.46740,phosphate buffered saline,"buffer, solvent, porogen, washing/desorption medium","PBS used for synthesis, static binding medium, permeation receptor solution, and regeneration.",phosphate buffered saline,1,
1467,10.1002/app.46740,2-chloroacetamide,reported reagent for ionic liquid synthesis context,Purchased reagent; tailored ionic liquid was synthesized in laboratory according to literature.,2-chloroacetamide,0,
1468,10.1002/app.46740,1-vinylimidazole,reported reagent for ionic liquid synthesis context,"Purchased reagent; likely precursor for [VAMIM]Cl synthesis, but detailed synthesis not in supplied context.",1-vinylimidazole,0,
1469,10.1080/10826076.2020.1780606,acrylamide,monomer/polymer backbone precursor,"Used in acrylamide-based BSA-imprinted cryogels, pAAm composite cryogels, and acrylamide/NIPAAm hydrogel films.",acrylamide,0,
1470,10.1080/10826076.2020.1780606,diallylamine,basic monomer,Incorporated in basic BSA-imprinted acrylamide cryogels and BSA sensor polymer.,diallylamine,0,
1471,10.1080/10826076.2020.1780606,acrylic acid,acidic monomer,Used in acidic BSA-imprinted acrylamide cryogels and BSA sensor polymer.,acrylic acid,0,
1472,10.1080/10826076.2020.1780606,N-methacryloyl-(L)-histidinemethylester,metal-coordinating functional monomer,"Used as MAH in lysozyme-, Con A-, Protein C-, and Hb-imprinted cryogels.",N-methacryloyl-L-histidine methyl ester,1,
1473,10.1080/10826076.2020.1780606,Cu2+,metal ion bridge/chelation center,Complexed with MAH for lysozyme and Protein C imprinting and used with PEI for lysozyme surface imprinting.,copper(II),0,
1474,10.1080/10826076.2020.1780606,Ni2+,metal ion bridge/chelation center,Used with MAH for Con A-imprinted cryogel columns.,nickel(II),0,
1475,10.1080/10826076.2020.1780606,Ce(III),lanthanide metal ion bridge,Used in MAAP-Ce(III) functional monomer for myoglobin-imprinted cryogel.,cerium(III),0,
1476,10.1080/10826076.2020.1780606,N-isopropylacrylamide,thermoresponsive monomer,"Used in IgG-imprinted p(NIPA-MAH), ovalbumin dual-responsive cryogel, and acrylamide/NIPAAm hydrogel films.",N-isopropylacrylamide,0,
1477,10.1080/10826076.2020.1780606,HEMA,monomer/polymer backbone precursor,"Used in PHEMA-based hIFN-alpha, HBsAb, Protein C, Protein A, and poly(HEMA-GMA) cryogels.",2-hydroxyethyl methacrylate,1,
