protein_mention_id,doi,name,abbreviation,species_or_source,role,uniprot_query,reported_mw_kDa,reported_pI,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,result_count
882,10.3390/biomimetics10120798,polyclonal anti-rabbit IgG,anti-rabbit IgG,polyclonal anti-rabbit,dot blot detection antibody,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
883,10.3390/biomimetics10120798,BC-MAP (Y13W and Y79W),BC-MAP Y13W/Y79W,engineered fusion protein containing Staphylococcus aureus protein A domains and mussel adhesive protein,hydrogel functional protein and antibody-binding ligand,Staphylococcus aureus protein A mussel adhesive protein fp-5 fusion,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
884,10.3390/biomimetics10120798,BC-MAP (Y13F and Y79F),BC-MAP Y13F/Y79F,engineered fusion protein containing Staphylococcus aureus protein A domains and mussel adhesive protein,antibody-binding ligand evaluated by SPR but not selected for hydrogel patch experiments,Staphylococcus aureus protein A mussel adhesive protein fp-5 fusion,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
885,10.1016/j.msec.2011.03.008,low density lipoprotein cholesterol,LDL,human plasma,adsorption target,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
886,10.1016/j.msec.2011.03.008,high density lipoprotein cholesterol,HDL,human plasma,competitor/off-target lipoprotein,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
887,10.1016/j.msec.2011.03.008,very low density lipoprotein cholesterol,VLDL,human plasma,competitor/off-target lipoprotein,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
888,10.1016/j.msec.2011.03.008,anti-human beta-lipoprotein antibody,anti-LDL antibody,,immobilized affinity ligand,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
889,10.1016/j.msec.2011.03.008,protein A,,Staphylococcus aureus,orientation ligand for antibody immobilization,Staphylococcus aureus protein A,40.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
890,10.1016/j.msec.2011.03.008,apoprotein B100,apoB100,,LDL protein component/antigen context,human apolipoprotein B-100,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
891,10.1007/s11090-023-10319-w,bovine serum albumin,BSA,bovine,model protein for adsorption; component of tear fluid and cell culture media,bovine serum albumin Bos taurus,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
892,10.1007/s11090-023-10319-w,laminin,,mouse Engelbreth-Holm-Swarm sarcoma,immobilized extracellular matrix biomolecule for enhancing cell attachment,mouse laminin Engelbreth-Holm-Swarm,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
893,10.1007/s11090-023-10319-w,fetal bovine serum proteins,FBS proteins,bovine serum,cell culture medium proteins mentioned as adsorption-relevant background,fetal bovine serum proteins,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
894,10.1007/s12034-018-1660-9,amyloglucosidase,,Aspergillus niger,adsorption target and immobilized enzyme,amyloglucosidase Aspergillus niger,nan,4.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
895,10.1007/s12034-018-1660-9,glucoamylase,,,synonym of amyloglucosidase,glucoamylase Aspergillus niger,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
896,10.1080/01932691.2010.497463,bovine serum albumin,BSA,bovine,adsorption test protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
897,10.1080/01932691.2010.497463,gelatin,,,hydrogel polymer component,,nan,7.6,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
898,10.3390/polym13132051,bovine serum albumin,BSA,bovine serum,adsorbate and lubricant protein,bovine serum albumin,nan,5.16,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
899,10.3390/polym13132051,albumin,,tear albumin context; bovine serum albumin used experimentally,tear protein of interest,albumin,nan,5.16,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
900,10.3390/polym13132051,lysozyme,,tear protein,"literature comparator, not experimentally tested in this study",lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
901,10.1016/j.ijbiomac.2018.08.133,bovine serum albumin,BSA,bovine,target protein for immobilization and controlled release,bovine serum albumin,69.0,4.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
902,10.1002/cbic.202500958,streptavidin-Atto 425 conjugate,streptavidin-Atto 425,,fluorescent probe for biotin availability,streptavidin,60.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
903,10.1002/cbic.202500958,streptavidin-horseradish peroxidase conjugate,streptavidin-HRP,,model enzyme conjugate for immobilization,horseradish peroxidase streptavidin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
904,10.1002/cbic.202500958,Mad10,Mad10,Desulfamplus magnetovallimortis BW-1,magnetite-binding protein,Mad10 Desulfamplus magnetovallimortis BW-1,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
905,10.1002/cbic.202500958,superfolder green fluorescent protein,sfGFP,,fluorescent fusion partner,superfolder GFP,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
906,10.1002/cbic.202500958,sfGFP-Mad10trunc-His fusion protein,sfGFP-Mad10trunc-His,recombinant fusion protein containing Mad10 from Desulfamplus magnetovallimortis BW-1,magnetite-binding fluorescent fusion protein,sfGFP Mad10trunc His,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
907,10.1007/s12010-019-03083-1,horseradish peroxidase,HRP,horseradish root tubers,immobilized target protein/enzyme,horseradish peroxidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
908,10.1007/s12010-019-03083-1,peroxidase,,,enzyme class discussed and immobilized,peroxidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
909,10.1021/acs.iecr.1c05087,urease,,Jack beans,target protein immobilized in PEI cryogels; enzyme catalyst for urea hydrolysis,jack bean urease Canavalia ensiformis,480.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
910,10.1021/acs.iecr.1c05087,bovine serum albumin,BSA,bovine,stabilizer in substrate solution,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
911,10.1021/acs.biomac.9b01522,bovine serum albumin,BSA,bovine,hydrogel-forming protein; not an adsorbed target,bovine serum albumin,66.463,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
912,10.1021/acs.biomac.9b01522,human serum albumin,HSA,human,literature comparison only,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
913,10.1021/acsami.2c01953,immunoglobulin G,IgG,,target protein; source of Fc template fragment; opsonic protein in protein corona,immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
914,10.1021/acsami.2c01953,human serum albumin,HSA,human serum,abundant blood reference protein and blocking protein,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
915,10.1021/acsami.2c01953,Fc domain,Fc,prepared from whole IgG,template molecule and target fragment,immunoglobulin Fc fragment,50.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
916,10.1021/acsami.2c01953,F(ab')2 domain,F(ab')2,from IgG digestion context,antibody fragment comparator,immunoglobulin F(ab')2 fragment,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
917,10.1021/acsami.2c01953,papain,,,enzyme for IgG digestion,papain,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
918,10.1021/acsami.2c01953,interleukin-6,IL-6,RAW264 cell secretion,inflammatory cytokine biointerface readout,mouse interleukin-6,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
919,10.1021/acsami.2c01953,tumor necrosis factor-alpha,TNF-alpha,RAW264 cell secretion,inflammatory cytokine biointerface readout,mouse tumor necrosis factor alpha,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
920,10.1021/acsami.2c01953,interferon-gamma,IFN-gamma,NK cell secretion,inflammatory cytokine biointerface readout,interferon gamma,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
921,10.1016/j.biomaterials.2009.06.025,human serum albumin,HSA,human; Sigma A1653,target protein for adsorption and exchange,human serum albumin,66.438,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
922,10.1016/j.biomaterials.2009.06.025,human fibrinogen,HFG,human; Sigma F4129,competitor protein and exchange protein,human fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
923,10.1016/j.biomaterials.2009.06.025,human plasma proteins,,human plasma from healthy donors,complex competitive protein mixture,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
924,10.1016/j.biomaterials.2009.06.025,factor XII,,human plasma,coagulation contact activation protein discussed mechanistically,human coagulation factor XII,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
925,10.1016/j.biomaterials.2009.06.025,high-molecular-weight kininogen,HMWK,human plasma,coagulation contact activation protein discussed mechanistically,human kininogen 1,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
926,10.1016/j.biomaterials.2009.06.025,prekallikrein,PK,human plasma,coagulation contact activation protein discussed mechanistically,human plasma kallikrein,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
927,10.3390/gels8100653,bovine serum albumin,BSA,bovine,model protein for nanogel interaction assays,bovine serum albumin,69.222,5.82,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
928,10.3390/gels8100653,human serum albumin,HSA,human,contextual comparison explaining BSA model selection,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
929,10.1016/j.msec.2006.10.008,recombinant human serum albumin,rHSA,human recombinant,hydrogel crosslinker and drug-binding component,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
930,10.1016/j.msec.2006.10.008,human serum albumin,HSA,human,drug-binding reference protein,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
931,10.1016/j.msec.2006.10.008,bovine serum albumin,BSA,bovine,prior-work hydrogel crosslinking molecule,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
932,10.1016/j.msec.2006.10.008,trypsin,,,proteolytic enzyme used for degradation test,trypsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
933,10.1007/s00289-015-1476-3,bovine serum albumin,BSA,bovine,target protein for hydrogel concentration/separation,bovine serum albumin,69.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
934,10.1007/s13233-013-1007-8,histidine-tagged glutamyl aminopeptidase,His-tagged GAP,cell lysate,target enzyme for immobilization and purification,histidine-tagged glutamyl aminopeptidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
935,10.1002/app.34911,hemoglobin,,human blood,iron-containing protein monitored after bead contact,human hemoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
936,10.1002/app.34911,albumin,,human serum,serum protein and calcium carrier monitored after bead contact,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
937,10.1002/app.34911,transferrin,,human serum,serum iron carrier referenced as transferrin-bound iron,human transferrin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
938,10.1002/app.34911,ferritin,,human blood serum context,iron storage protein mentioned in introduction/background,human ferritin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
939,10.1002/app.34911,myoglobin,,human body context,iron-containing protein mentioned in background,human myoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
940,10.1002/admt.202000911,bovine serum albumin,BSA,bovine,model absorption molecule; model fouling protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
941,10.1002/admt.202000911,fibrinogen,FIB,,model absorption molecule; model fouling protein,fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
942,10.1016/j.bej.2007.02.009,bovine serum albumin,BSA,bovine,model protein adsorbate,bovine serum albumin,nan,4.7,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
943,10.3390/gels10120786,lysozyme,,,enzyme in resorption medium; not an adsorption target,lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
944,10.3390/gels10120786,gelatin type B,Gel,,hydrogel-forming proteinaceous polymer; not adsorption target,,63.1,4.7,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
945,10.1002/bmc.5995,activated protein C,APC,plasma; human implied by article context,target protein,human activated protein C PROC,62.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
946,10.1002/bmc.5995,protein C,PC,human blood/plasma,zymogen precursor of APC; background protein,human protein C PROC,62.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
947,10.1002/bmc.5995,bovine serum albumin,BSA,bovine,competitive protein,bovine serum albumin ALB,67.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
948,10.1002/bmc.5995,human serum albumin,HSA,human,competitive protein,human serum albumin ALB,67.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
949,10.1002/bmc.5995,lysozyme,LYZ,,competitive protein,lysozyme,14.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
950,10.1002/bmc.5995,immunoglobulin G,IgG,,competitive protein,immunoglobulin G,150.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
951,10.1016/j.jconrel.2026.114989,spirulina protein isolate,SPI,Arthrospira platensis,hydrogel protein component,Arthrospira platensis protein isolate,nan,1.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
952,10.1016/j.jconrel.2026.114989,chlorella protein isolate,CPI,Chlorella vulgaris,hydrogel protein component,Chlorella vulgaris protein isolate,nan,3.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
953,10.1021/la901245z,myoglobin,Mb,horse heart,model heme redox protein immobilized in Sclg-borax hydrogel,horse heart myoglobin,17.8,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
954,10.1021/la901245z,horseradish peroxidase,HRP,horseradish; type VI-A,heme enzyme immobilized in Sclg-borax hydrogel,horseradish peroxidase type VI-A,42.1,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
955,10.1021/la901245z,hemoglobin,Hb,human,model heme redox protein immobilized in Sclg-borax hydrogel,human hemoglobin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
956,10.1007/s10965-018-1677-1,biotinylated bovine serum albumin,biotin-BSA,bovine,adsorption target protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
957,10.1007/s10965-018-1677-1,streptavidin,Cy5-streptavidin,,fluorescent detection reagent binding biotin-BSA,streptavidin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
958,10.1007/s10965-018-1677-1,biotinylated laminin,,,material listed but not used in described adsorption test,laminin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
959,10.3390/gels8010046,nonspecific proteins,,,foulants in antifouling discussion and records,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
960,10.3390/gels8010046,fibrinogen,,,blood protein foulant,fibrinogen human,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
961,10.3390/gels8010046,fibrin network,,,coagulation protein network,fibrin human,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
962,10.3390/gels8010046,platelet-rich plasma proteins,PRP,,complex fouling matrix,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
963,10.3390/gels8010046,human whole-blood proteins,,human whole blood,complex blood-contact matrix,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
964,10.3390/gels8010046,fetal bovine serum,FBS,bovine serum,protein-rich biological medium,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
965,10.3390/gels8010046,organophosphorus hydrolase,OPH,,protein cargo in CBAA nanogels,organophosphorus hydrolase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
966,10.3390/gels8010046,fibroblast growth factor-2,FGF-2,,growth factor cargo,fibroblast growth factor 2 human,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
967,10.3390/gels8010046,collagen II,,cartilage,cartilage binding target,collagen type II alpha 1,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
968,10.3390/gels8010046,antibody,,,recognition molecule/immobilized probe ligand,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
969,10.1021/la401664y,soy protein,,soybean,"hydrogel-forming protein component, not adsorption target",soybean soy protein glycinin beta-conglycinin,nan,4.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
970,10.1021/la401664y,glycinin,,soybean,component of soy protein,soybean glycinin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
971,10.1021/la401664y,β-conglycinin,,soybean,component of soy protein,soybean beta-conglycinin,50.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
972,10.1021/la401664y,human serum albumin,HSA,human,literature comparator mentioned in introduction/discussion,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
973,10.1021/la401664y,β-lactoglobulin,,,literature comparator mentioned in introduction,beta-lactoglobulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
974,10.1002/jmr.2204,jack bean urease,JBU,Canavalia ensiformis,target protein for adsorption and purification,urease Canavalia ensiformis,90.0,5.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
975,10.1002/jmr.2204,soluble proteins from jack bean meal extract,,Canavalia ensiformis meal,competitor protein mixture,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
976,10.1002/app.31505,anti-DNA antibodies,,systemic lupus erythematosus patients plasma/sera,"proposed downstream removal target, not experimentally tested",,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
977,10.1002/app.31505,enzymes,,,general biomolecule example,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
978,10.1002/app.31505,antibodies,,,general biomolecule example,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
979,10.1021/la063419x,ovalbumin,OVA,hen egg white; Sigma grade V,hydrogel-forming protein component,ovalbumin chicken,47.0,4.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
980,10.1021/la063419x,ovotransferrin,OT,hen egg white; substantially iron-free from Sigma,hydrogel-forming protein component,ovotransferrin chicken,78.0,6.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
981,10.1007/s00604-004-0223-5,transferrin,,,model protein spotted on CMD hydrogel,transferrin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
982,10.1007/s00604-004-0223-5,Protein A,,,model protein spotted on CMD hydrogel,Protein A,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
983,10.1007/s00604-004-0223-5,anti-myoglobin,,,model antibody spotted on CMD hydrogel,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
984,10.1007/s00604-004-0223-5,bovine serum albumin,BSA,bovine,model protein spotted on CMD hydrogel,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
985,10.1002/app.43478,bovine serum albumin,BSA,cow; Sigma,protein adsorbate,bovine serum albumin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
986,10.1007/s43153-024-00463-x,whey permeate protein,,whey permeate,"feedstock composition component, not adsorption target",,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
987,10.1007/s43153-024-00463-x,corn steep liquor protein,,corn steep liquor,"feedstock composition component, not adsorption target",,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
988,10.1021/la1030203,Immunoglobulin G,IgG,bovine blood,model protein for adsorption testing,bovine immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
989,10.1021/la1030203,FITC-labeled Immunoglobulin G,FITC-IgG,"bovine blood, inferred from IgG material",fluorescent permeability probe,bovine immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
990,10.1007/s00396-015-3822-2,bovine serum albumin,BSA,bovine,model protein for anti-protein adsorption assay,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
991,10.1007/s00396-015-3822-2,fetal calf serum proteins,FBS,fetal calf serum,cell culture medium component,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
992,10.3390/polym8120418,bovine serum albumin,BSA,bovine,model protein for adsorption and release,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
993,10.3390/polym8120418,albumins,,,protein class affected by PLA hydrogel modification,albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
994,10.3390/polym8120418,chymotrypsin,,,molecular imprinting target in preliminary experiments,chymotrypsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
995,10.3390/membranes11100761,bovine serum albumin,BSA,bovine,model protein foulant,bovine serum albumin,6.7,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
996,10.3390/s21196348,CBM3a-mRuby3,CBM3a-mRuby3,CBM3a from Clostridium thermocellum fused to mRuby3,cellulose-affine fluorescent reporter protein for binding studies,Clostridium thermocellum CBM3a mRuby3 fusion,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
997,10.3390/s21196348,enhanced green fluorescent protein,EGFP,,fluorescent model analyte in lateral-flow experiments,enhanced green fluorescent protein,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
998,10.3390/s21196348,FITC-labeled bovine serum albumin,FITC-BSA or BSA-FITC,bovine; purchased from Sigma-Aldrich,fluorescently labeled model protein analyte,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
999,10.3390/s21196348,positively charged GFP variant,GFP+9,GFP variant,positively charged model protein for charge-dependent retention,GFP+9 positively charged GFP variant,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1000,10.3390/s21196348,bovine serum albumin,BSA,bovine,blocking protein discussed for nitrocellulose and paper assays,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1001,10.1016/j.chroma.2010.11.074,human serum albumin,HSA,human; purchased HSA and human plasma,primary target protein,human serum albumin ALB,67.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1002,10.1016/j.chroma.2010.11.074,fibrinogen,,human plasma,competitor protein/non-target plasma protein,human fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1003,10.1016/j.chroma.2010.11.074,gamma-globulin,γ-globulin,human plasma,competitor protein/non-target plasma protein,human gamma globulin immunoglobulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1004,10.1016/j.chroma.2010.11.074,total plasma protein,,human plasma,protein mixture outcome,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1005,10.1016/j.molstruc.2017.06.026,Bovine serum albumin,BSA,bovine serum lyophilized powder,model protein adsorbate,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1006,10.1002/anie.201700647,human serum albumin,HSA,human,"template molecule, adsorption target, dysopsonic corona protein",human serum albumin ALB,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1007,10.1002/anie.201700647,rhodamine-labeled human serum albumin,R-HSA,human,FRET probe for in vivo binding,human serum albumin ALB,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1008,10.1002/anie.201700647,immunoglobulin G,IgG,plasma protein component,selectivity comparator protein,immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1009,10.1002/anie.201700647,fibrinogen,Fib,plasma protein component,selectivity comparator protein,fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1010,10.1002/anie.201700647,gamma-globulin,,plasma protein fraction,plasma concentration comparator,gamma globulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1011,10.1002/anie.201700647,mouse serum albumin,,mouse bloodstream,endogenous albumin competitor/replacement protein,mouse serum albumin Alb,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1012,10.1021/jp307588b,fibrinogen,FBG,human plasma,negatively charged protein adsorbate,human fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1013,10.1021/jp307588b,lysozyme,LYZ,chicken egg white,positively charged protein adsorbate,chicken lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1014,10.1021/jp307588b,horseradish peroxidase-conjugated polyclonal antifibrinogen,HRP-conjugated anti-FBG,anti-human plasma fibrinogen,ELISA detection antibody,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1015,10.1021/jp307588b,horseradish peroxidase-conjugated polyclonal antilysozyme,HRP-conjugated anti-LYZ,anti-chicken egg white lysozyme,ELISA detection antibody,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1016,10.1007/s12010-021-03559-z,α-amylase,,Aldrich; biological source not specified,adsorbed target enzyme and immobilized enzyme,alpha-amylase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1017,10.1007/s12010-021-03559-z,catalase,,,literature comparator biomolecule in Table 1,catalase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1018,10.1007/s12010-021-03559-z,lysozyme,,,literature comparator biomolecule in Table 1,lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1019,10.1007/s12010-021-03559-z,hemoglobin,,,literature comparator biomolecule in Table 1,hemoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1020,10.3390/ma15176089,hemoglobin,,,protein-containing swelling/incubation medium,hemoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1021,10.3390/ma15176089,fibronectin,,,literature example in wettability discussion,fibronectin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1022,10.3390/ma16052119,hen egg white lysozyme,HEWL,hen egg white,model tear protein; adsorption target,hen egg white lysozyme,nan,10.7,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1023,10.3390/ma16052119,bovine serum albumin,BSA,bovine serum,model tear protein; adsorption comparator,bovine serum albumin,nan,4.5,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
1024,10.1002/jssc.201100940,ovalbumin,OVA,egg white; purchased from Aldrich for model tests,target glycoprotein,ovalbumin Gallus gallus,45.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
