id,doi,field_name,value_json,value_origin,evidence_text,source_section,source_table_or_figure,confidence,prompt_version,article_type,qa_note,created_at,completion_source_dir
729,10.1016/j.jchromb.2025.124831,hydrogel_properties.surface_area,"{""SAH"":{""value"":97.51,""unit"":""m2 g−1""},""SAH-0.05"":{""value"":159.05,""unit"":""m2 g−1""},""SAH-0.1"":{""value"":106.46,""unit"":""m2 g−1""},""raw_text"":""97.51 m2 g−1, 159.05 m2 g−1, and 106.46 m2 g−1""}",observed_fulltext,"The SSA of the SAH, SAH-0.05, and SAH-0.1 calculated by the BET model were 97.51 m2 g−1, 159.05 m2 g−1, and 106.46 m2 g−1",Morphology and structure,Figs. 5a-c,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"Surface area is reported for multiple hydrogel compositions, and hydrogel_properties.surface_area is not listed in the record missing_focus paths.",2026-07-06T05:55:50,v7_plus_v9pilot
730,10.1016/j.jchromb.2025.124831,hydrogel_properties.pore_size,"{""SAH"":{""value"":18.71,""unit"":""nm""},""SAH-0.05"":{""value"":10.51,""unit"":""nm""},""SAH-0.1"":{""value"":10.86,""unit"":""nm""},""raw_text"":""pore sizes of 18.71 nm, 10.51 nm, and 10.86 nm""}",observed_fulltext,"with pore sizes of 18.71 nm, 10.51 nm, and 10.86 nm, respectively",Morphology and structure,Figs. 5a-c,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"Pore size is reported for multiple hydrogel compositions, and hydrogel_properties.pore_size is not listed in the record missing_focus paths.",2026-07-06T05:55:50,v7_plus_v9pilot
731,10.1016/j.jchromb.2025.124831,hydrogel_properties.particle_size,"{""value"":""1-2"",""unit"":""mm"",""raw_text"":""particle size of approximately 1–2 mm""}",observed_fulltext,"SAHs-0.05 microspheres are regular spherical in shape, white in appearance, with a particle size of approximately 1–2 mm",Morphology and structure,Fig. 4,0.88,field_completion_v7_property_first_patch,general_batch_adsorption,"Particle size is sample-level evidence for SAHs-0.05, but hydrogel_properties.particle_size is not listed in the record missing_focus paths.",2026-07-06T05:55:50,v7_plus_v9pilot
732,10.1016/j.jchromb.2025.124831,hydrogel_properties.responsive_type,"""temperature- and pH-responsive""",observed_fulltext,a temperature- and pH dual-stimulus responsive hydrogel material,Abstract,,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"Responsive type describes the material overall, but hydrogel_properties.responsive_type is not listed in the record missing_focus paths.",2026-07-06T05:55:50,v7_plus_v9pilot
733,10.1016/j.jchromb.2025.124831,hydrogel_properties.zeta_potential_mV,"{""raw_text"":""pI of the hydrogel adsorbent is approximately pH = 4.35""}",observed_fulltext,The pI of the hydrogel adsorbent is approximately pH = 4.35,Evaluation of adsorption mechanisms,Fig. 6e,0.78,field_completion_v7_property_first_patch,general_batch_adsorption,"The context reports the hydrogel isoelectric point from zeta potential rather than a mV value, and hydrogel_properties.zeta_potential_mV is not listed in the record missing_focus paths.",2026-07-06T05:55:50,v7_plus_v9pilot
463,10.1016/j.jcis.2007.07.052,hydrogel_properties.particle_size,"{""min"":60,""max"":80,""unit"":""μm"",""raw_text"":""Microgels (60–80 μm in diameter at pH 7.0 and ionic strength 220 mM)""}",observed_fulltext,Microgels (60–80 μm in diameter at pH 7.0 and ionic strength 220 mM),Microgel characterization and deswelling,none,0.96,field_completion_v7_property_first_patch,micro_nanogel,"Particle size is directly reported, but hydrogel_properties.particle_size is not listed in the missing_focus fields for the existing records.",2026-07-05T22:09:47,v7_plus_v9pilot
464,10.1016/j.jcis.2007.07.052,hydrogel_properties.crosslinking_estimate,"{""value"":0.59,""sd"":0.44,""unit"":""%CL"",""raw_text"":""yielding an estimate of %CL of 0.59 ± 0.44""}",observed_fulltext,yielding an estimate of %CL of 0.59 ± 0.44,Microgel characterization,Fig. 8,0.9,field_completion_v7_property_first_patch,micro_nanogel,This is a characterization-derived cross-linking estimate rather than the preparation crosslinker_concentration requested in record missing fields.,2026-07-05T22:09:47,v7_plus_v9pilot
465,10.1016/j.jcis.2007.07.052,hydrogel_properties.acrylic_acid_concentration_estimate,"{""value"":44,""sd"":30,""unit"":""mM"",""raw_text"":""[AA]1mM of 44 ± 30 mM""}",observed_fulltext,give an estimate of [AA]1mM of 44 ± 30 mM,Microgel characterization,Fig. 8,0.88,field_completion_v7_property_first_patch,micro_nanogel,This is an estimated swollen-gel acrylic acid concentration and cannot be safely mapped to hydrogel.monomer_ratios.,2026-07-05T22:09:47,v7_plus_v9pilot
103,10.1016/j.jcis.2008.05.052,hydrogel_properties.water_content_pct,"{""raw_text"":""higher water content hydrogel""}",observed_fulltext,"The increased adsorption we see may relate to the fact that our films have been crosslinked, or possibly due to our higher water content hydrogel.",Discussion,,0.38,field_completion_v7_property_first_patch,general_batch_adsorption,"The article context only describes the film as having higher water content without reporting a numeric water content for the specific crosslinked polyHEMA sample, so it is not safe to assign as a record-level observed property.",2026-07-05T20:02:49,v7_plus_v9pilot
994,10.1016/j.jcis.2010.03.072,protein.charge_at_experiment_pH,"{""value"":9,""unit"":""net charge"",""raw_text"":""lysozyme's relatively large net charge (zlys =9)""}",observed_fulltext,lysozyme's relatively large net charge (zlys =9),Interpretation of binding isotherms,,0.95,field_completion_v7_property_first_patch,micro_nanogel,"The existing missing_focus lists do not include protein.charge_at_experiment_pH, so it cannot be emitted as a record patch.",2026-07-06T00:57:50,v7_plus_v9pilot
995,10.1016/j.jcis.2010.03.072,hydrogel_properties.degradation_or_stability,"""flocculation starts at about the same charge ratio (0.5-0.6) for I =10, 40, and 80mM""",observed_fulltext,"flocculation starts at about the same charge ratio (0.5-0.6) for I =10, 40, and 80mM",Colloidal stability,,0.86,field_completion_v7_property_first_patch,micro_nanogel,"This stability statement applies to the overall poly(NIPAM-co-AAc) microgel system across several ionic strengths, not to a single existing record.",2026-07-06T00:57:50,v7_plus_v9pilot
633,10.1016/j.jcis.2012.07.018,hydrogel_properties.water_content_pct,"{""raw_text"":""EAC values reported for crosslinking levels 0x, 0.5x, 1x, 2.5x, 5x, 7.5x, 10x, and 15x""}",observed_fulltext,"Equilibrium aqueous content (EAC), storage modulus (G') and predicted values of p-HEMA hydrogel mesh sizes",Effect on p-HEMA hydrogel mesh size,Table 2,0.96,field_completion_v7_property_first_patch,general_batch_adsorption,"Water content is reported by crosslinking level, but water_content_pct is not listed in any record missing_focus and therefore cannot be emitted as a record patch.",2026-07-06T05:41:30,v7_plus_v9pilot
634,10.1016/j.jcis.2012.07.018,hydrogel_properties.mesh_size,"{""raw_text"":""mesh size values reported for crosslinking levels 0x, 0.5x, 1x, 2.5x, 5x, 7.5x, 10x, and 15x""}",observed_fulltext,predicted values of p-HEMA hydrogel mesh sizes (xi) as a function of crosslinker concentration,Effect on p-HEMA hydrogel mesh size,Table 2,0.96,field_completion_v7_property_first_patch,general_batch_adsorption,"Mesh size is directly reported by crosslinking level, but mesh_size is not listed in any record missing_focus and therefore cannot be emitted as a record patch.",2026-07-06T05:41:30,v7_plus_v9pilot
494,10.1016/j.jcis.2016.08.066,hydrogel.synthesis_method,"""surface crosslinking copolymerization at 365 nm UV light between two glass sheets""",observed_fulltext,The surface crosslinking copolymerization was carried out at 365nm UV light between two glass sheets.,Membrane preparation,,0.92,field_completion_v7_property_first_patch,antifouling_surface,"hydrogel.synthesis_method is not listed in the missing_focus fields for the records, so it cannot be emitted as a record patch.",2026-07-05T22:20:51,v7_plus_v9pilot
495,10.1016/j.jcis.2016.08.066,experiment.temperature_C,"{""value"":37,""unit"":""°C"",""raw_text"":""immersed in protein solution at 37°C for 2h""}",observed_fulltext,immersed in protein solution at 37°C for 2h,Protein adsorption,,0.96,field_completion_v7_property_first_patch,antifouling_surface,experiment.temperature_C is directly reported for the adsorption assay but is not listed in the missing_focus fields for these records.,2026-07-05T22:20:51,v7_plus_v9pilot
496,10.1016/j.jcis.2016.08.066,experiment.contact_time,"{""value"":2,""unit"":""h"",""raw_text"":""immersed in protein solution at 37°C for 2h""}",observed_fulltext,immersed in protein solution at 37°C for 2h,Protein adsorption,,0.96,field_completion_v7_property_first_patch,antifouling_surface,experiment.contact_time is directly reported for the adsorption assay but is not listed in the missing_focus fields for these records.,2026-07-05T22:20:51,v7_plus_v9pilot
497,10.1016/j.jcis.2016.08.066,protein.protein_initial_concentration,"{""value"":1,""unit"":""mg/mL"",""raw_text"":""BSA, FBG, and LYS solutions (with the concentration of 1mg/mL)""}",observed_fulltext,"Protein adsorption experiments were carried out with BSA, FBG, and LYS solutions (with the concentration of 1mg/mL).",Protein adsorption,,0.97,field_completion_v7_property_first_patch,antifouling_surface,protein.protein_initial_concentration is directly reported but is not listed in the missing_focus fields for these records.,2026-07-05T22:20:51,v7_plus_v9pilot
498,10.1016/j.jcis.2016.08.066,experiment.detection_method,"""Micro BCA protein assay at 562 nm for BSA/FBG; UV-vis spectrophotometry at 281 nm for LYS""",observed_fulltext,Micro BCA™ protein assay reagent kits using an UV–vis spectrophotometer...562nm...LYS concentration was determined by the UV–vis spectrophotometry at 281nm,Protein adsorption,,0.95,field_completion_v7_property_first_patch,antifouling_surface,experiment.detection_method is directly reported but is not listed in the missing_focus fields for these records.,2026-07-05T22:20:51,v7_plus_v9pilot
439,10.1016/j.jcis.2017.01.066,hydrogel.synthesis_method,"""TPP solutions were added dropwise into pH-matched FITC-chitosan solution under stirring at 800 rpm""",observed_fulltext,1mL of variably concentrated TPP solutions ... were added dropwise into 5mL of pH-matched 0.1wt% FITC-chitosan solution,"pH, ionic strength and TPP:glucosamine ratio effects on micro- and nanogel yield",,0.94,field_completion_v7_property_first_patch,micro_nanogel,"The field is not in the missing_focus list for any supplied record, so it cannot be emitted as a record patch.",2026-07-06T04:58:43,v7_plus_v9pilot
440,10.1016/j.jcis.2017.01.066,hydrogel_properties.particle_yield,"""fraction of chitosan formed into chitosan/TPP particles, XAgg""",observed_fulltext,"particle yield, defined here as the fraction of chitosan formed into chitosan/TPP particles (XAgg)","pH, ionic strength and TPP:glucosamine ratio effects on micro- and nanogel yield",,0.95,field_completion_v7_property_first_patch,micro_nanogel,Particle yield is central to the article but is not an allowed target_path in the record patch schema.,2026-07-06T04:58:43,v7_plus_v9pilot
1273,10.1016/j.jcis.2017.04.024,hydrogel_properties.swelling_ratio,"{""value"":1.717,""uncertainty"":0.012,""raw_text"":""PCB-PAC 1.717 ± 0.012""}",observed_fulltext,PCB-PAC | 1.717 ± 0.012,Physical properties of adsorbents,Table 1,0.99,field_completion_v7_property_first_patch,antifouling_surface,"Swelling ratio is reported for PCB-PAC, but hydrogel_properties.swelling_ratio is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
1274,10.1016/j.jcis.2017.04.024,hydrogel_properties.young_modulus,"{""value"":0.074,""uncertainty"":0.004,""unit"":""MPa"",""raw_text"":""PCB-PAC 0.074 ± 0.004 MPa""}",observed_fulltext,PCB-PAC | ... Compressive modulus (MPa) | 0.074 ± 0.004,Physical properties of adsorbents,Table 1,0.98,field_completion_v7_property_first_patch,antifouling_surface,"A modulus is reported for PCB-PAC, but hydrogel_properties.young_modulus is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
1275,10.1016/j.jcis.2017.04.024,hydrogel_properties.mesh_size,"{""value"":5.598,""unit"":""nm"",""raw_text"":""PCB hydrogel coating (5.59nm)""}",observed_fulltext,the mesh size of PCB hydrogel coating (5.59nm),Physical properties of adsorbents,Table 1,0.96,field_completion_v7_property_first_patch,antifouling_surface,"The mesh size is reported for the PCB hydrogel coating, but Table 1 does not assign a mesh-size value to the PCB-PAC row and the record-level missing_focus includes PCB-PAC.",2026-07-06T02:14:21,v7_plus_v9pilot
1276,10.1016/j.jcis.2017.04.024,hydrogel_properties.break_strain,"{""value"":71.318,""uncertainty"":0.001,""unit"":""%"",""raw_text"":""PCB-PAC 71.318 ± 0.001""}",observed_fulltext,PCB-PAC | ... Break strain (%) | 71.318 ± 0.001,Physical properties of adsorbents,Table 1,0.99,field_completion_v7_property_first_patch,antifouling_surface,"Break strain is directly reported for PCB-PAC, but break_strain is not an allowed record patch target.",2026-07-06T02:14:21,v7_plus_v9pilot
1277,10.1016/j.jcis.2017.04.024,hydrogel_properties.particle_size,"{""value"":1,""unit"":""mm"",""raw_text"":""1mm-sized particles""}",observed_fulltext,All three types of hydrogel coated PAC samples were prepared as 1mm-sized particles.,Adsorption properties,Fig. 2,0.97,field_completion_v7_property_first_patch,antifouling_surface,"Particle size is reported for the hydrogel-coated PAC samples, but hydrogel_properties.particle_size is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
1278,10.1016/j.jcis.2017.04.024,experiment.temperature_C,"{""value"":25,""unit"":""°C"",""raw_text"":""at 25°C for 24h""}",observed_fulltext,equilibrated in 20mL solutions with different MB concentrations in a shaking water bath of 175rpm at 25°C for 24h,Adsorption isotherms,,0.96,field_completion_v7_property_first_patch,antifouling_surface,"The batch isotherm temperature is reported, but experiment.temperature_C is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
1279,10.1016/j.jcis.2017.04.024,experiment.solution_volume,"{""value"":20,""unit"":""mL"",""raw_text"":""20mL solutions""}",observed_fulltext,10mg pristine PAC and PCB-PAC (containing 10mg PAC) were equilibrated in 20mL solutions,Adsorption isotherms,,0.95,field_completion_v7_property_first_patch,antifouling_surface,"The solution volume is reported for MB isotherm experiments, but experiment.solution_volume is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
1280,10.1016/j.jcis.2017.04.024,experiment.hydrogel_dosage,"{""value"":10,""unit"":""mg PAC contained in PCB-PAC"",""raw_text"":""PCB-PAC (containing 10mg PAC)""}",observed_fulltext,10mg pristine PAC and PCB-PAC (containing 10mg PAC),Adsorption isotherms,,0.95,field_completion_v7_property_first_patch,antifouling_surface,"The dosage basis is reported for PCB-PAC isotherm experiments, but experiment.hydrogel_dosage is not in any record's missing_focus.",2026-07-06T02:14:21,v7_plus_v9pilot
59,10.1016/j.jcis.2017.07.060,hydrogel_properties.particle_size,"{""value"":550,""unit"":""nm"",""raw_text"":""PVA NFM ... average diameter of 550nm (a standard deviation of 42nm)""}",observed_fulltext,PVA NFM ... average diameter of 550nm (a standard deviation of 42nm),"Design, morphologies and structures",Fig. 1a,0.82,field_completion_v7_property_first_patch,general_batch_adsorption,"This diameter is for the precursor PVA NFM rather than the final CBA-g-PVA HNFM adsorption sample, so it was not assigned as a record patch.",2026-07-05T19:44:21,v7_plus_v9pilot
60,10.1016/j.jcis.2017.07.060,outcome.association_constant_Ka,"""Langmuir adsorption constant Ka was fitted but the supplied context truncates before the fitted parameter values""",observed_fulltext,Ka and KF are the Langmuir and Freundlich adsorption constants,Kinetics study of adsorption process,Fig. 6,0.45,field_completion_v7_property_first_patch,general_batch_adsorption,The context confirms Ka was part of the model analysis but does not provide the numeric fitted value needed for a record-level observed patch.,2026-07-05T19:44:21,v7_plus_v9pilot
707,10.1016/j.jcis.2018.01.106,hydrogel_properties.swelling_ratio,"{""value"":920,""unit"":""%"",""raw_text"":""approximately 920% in 1 M NaCl""}",observed_fulltext,The swelling then increased significantly (p < .001) to approximately 920% in 1 M NaCl,Swelling of bulk hydrogel,Fig. 1,0.9,field_completion_v7_property_first_patch,antifouling_surface,"This swelling value was measured for free-standing bulk hydrogel, not the grafted membrane records used in the adsorption/fouling assays.",2026-07-05T23:25:00,v7_plus_v9pilot
708,10.1016/j.jcis.2018.01.106,hydrogel_properties.thickness,"{""value"":90,""unit"":""nm"",""raw_text"":""ca. 90 nm""}",observed_fulltext,even at a high irridation time the hydrogel was relatively thin (ca. 90 nm),Conclusions,SEM and AFM analyses,0.82,field_completion_v7_property_first_patch,antifouling_surface,The context states a general high-irradiation hydrogel-layer thickness but does not give a row-specific value for all grafted membrane records.,2026-07-05T23:25:00,v7_plus_v9pilot
709,10.1016/j.jcis.2018.01.106,hydrogel_properties.contact_angle_deg,"{""value"":62,""unit"":""deg"",""error"":4,""raw_text"":""62° ± 4° for the modified membranes""}",observed_fulltext,from a CA of 78° ± 3° for the pristine membranes to 62° ± 4° for the modified membranes,Static adsorption of foulants,Table S1,0.86,field_completion_v7_property_first_patch,antifouling_surface,The value is reported generically for modified membranes; it was patched only where the target path was missing.,2026-07-05T23:25:00,v7_plus_v9pilot
28,10.1016/j.jcis.2019.07.045,hydrogel_properties.swelling_ratio,"{""PCB-H103"":""150.7 ± 1.1 %"",""PSB-H103"":""123.0 ± 2.8 %"",""PCB"":""165.5 ± 0.7 %"",""PSB"":""127.0 ± 1.9 %""}",observed_fulltext,Table 1 Physical properties... Swelling ratio (%),Physical characteristics,Table 1,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"Swelling_ratio is not present in the missing_focus list for PCB-H103 and PSB-H103 records, and only pristine H103 records list it, so it cannot be safely patched to the relevant hydrogel-coated records.",2026-07-05T19:33:37,v7_plus_v9pilot
29,10.1016/j.jcis.2019.07.045,hydrogel_properties.young_modulus,"{""PCB-H103"":""Compressive Modulus 0.265 ± 0.029 MPa"",""PSB-H103"":""Compressive Modulus 0.281 ± 0.020 MPa"",""PCB"":""Compressive Modulus 0.070 ± 0.003 MPa"",""PSB"":""Compressive Modulus 0.044 ± 0.005 MPa""}",observed_fulltext,Table 1 Physical properties... Compressive Modulus (MPa),Physical characteristics,Table 1,0.88,field_completion_v7_property_first_patch,general_batch_adsorption,"The reported modulus is compressive modulus rather than explicitly Young's modulus, so it is preserved only as article-level property evidence.",2026-07-05T19:33:37,v7_plus_v9pilot
30,10.1016/j.jcis.2019.07.045,hydrogel_properties.particle_size,"{""average_pellet_size"":""638 ± 97 μm""}",observed_fulltext,All coated samples were cut into pellets with an average size of 638 ± 97 μm,Adsorption kinetics towards PR and VB12 in PBS,,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"particle_size is not an allowed missing target for these records, so the sample-size evidence cannot be emitted as a record patch.",2026-07-05T19:33:37,v7_plus_v9pilot
31,10.1016/j.jcis.2019.07.045,hydrogel_properties.surface_area,"{""hydrogel_pellets_containing_0.03_g_H103"":""(3.05 ± 0.19) × 10−3 m2"",""0.03_g_H103_microparticles"":"">30 m2""}",observed_fulltext,"surface area of hydrogel pellets (containing 0.03 g H103) was (3.05 ± 0.19) × 10−3 m2, while that of 0.03 g H103 microparticles was >30 m2",Adsorption kinetics towards PR and VB12 in PBS,,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"The surface area statement describes a general pellet batch and pristine microparticles, not the specific BSA/serum record samples with enough specificity for record-level assignment.",2026-07-05T19:33:37,v7_plus_v9pilot
1263,10.1016/j.jcis.2019.07.083,hydrogel.composition,"""protein 91 g/100 g wet powder; moisture 3.6; lactose 3; fat 0.4; ash 2""",observed_fulltext,"Its composition was (in g/100 g of wet powder): protein ... 91; moisture, 3.6; lactose, 3; fat, 0.4 and ash, 2.",Materials,,0.95,field_completion_v7_property_first_patch,micro_nanogel,Composition is reported for the WPM powder material but composition is not an allowed target_path in the record missing_focus lists.,2026-07-06T02:12:07,v7_plus_v9pilot
1264,10.1016/j.jcis.2019.07.083,hydrogel.mineral_composition,"""Ca2+ 0.320, K+ 0.409, Na+ 0.468, Mg2+ 0.060, Cl- 0.178 g/100 g wet powder""",observed_fulltext,"Mineral composition of the powder was ... Ca2+, 0.320; K+, 0.409; Na+, 0.468; Mg2+, 0.060; Cl-, 0.178.",Materials,,0.94,field_completion_v7_property_first_patch,micro_nanogel,Mineral composition is a material-level property and there is no matching allowed record target_path for this value.,2026-07-06T02:12:07,v7_plus_v9pilot
617,10.1016/j.jcis.2020.05.122,hydrogel_properties.young_modulus,"""tensile stress-strain curves reported for Agar SN, polyMAMPS SN, and Agar/polyMAMPS DN hydrogels""",observed_fulltext,"Tensile stress-strain curves of Agar SN, polyMAMPS SN, and Agar/polyMAMPS DN hydrogels with and without MBAA crosslinkers",FIELD_RELEVANT_FIGURES,Fig. 8d,0.45,field_completion_v7_property_first_patch,antifouling_surface,The supplied context confirms mechanical testing but does not provide numeric modulus values assignable to individual records.,2026-07-06T05:38:26,v7_plus_v9pilot
212,10.1016/j.jcis.2022.04.030,hydrogel_properties.particle_size,"""Hydrodynamic radius and PDI were measured for nanogels prepared at different pH, salt concentration, and cross-linker fractions, but numeric values are only shown graphically in supplied figure captions.""",observed_fulltext,Rh and PDI of nanogels prepared at different cross-linker fractions,Figure caption,Fig. 5B,0.7,field_completion_v7_property_first_patch,micro_nanogel,The supplied context identifies particle-size characterization but does not provide extractable numeric Rh/PDI values for specific record samples.,2026-07-05T20:39:04,v7_plus_v9pilot
213,10.1016/j.jcis.2022.04.030,hydrogel_properties.swelling_ratio,"""Swelling ability was defined as Rh at different points over the value at pH 8 or 900 mM NaCl.""",observed_fulltext,Swelling ability (defined as Rh at different points over the value at pH 8 or 900 mM NaCl),Figure caption,Fig. 5C-D,0.75,field_completion_v7_property_first_patch,micro_nanogel,The supplied context gives the swelling-ratio definition and response dimensions but not record-specific numeric swelling ratios.,2026-07-05T20:39:04,v7_plus_v9pilot
214,10.1016/j.jcis.2022.04.030,experiment.detection_method,"""Circular dichroism, UV-vis absorbance, 1H NMR, light scattering, and TEM were used across characterization and protein assays.""",observed_fulltext,Circular Dichroism (CD) spectra... UV-vis absorbance... 1H NMR spectra... TEM images,Methods/Figure captions,Fig. 2D; Fig. 7A-B,0.65,field_completion_v7_property_first_patch,micro_nanogel,"Multiple analytical methods are reported for different article-level characterization and assays, but the supplied context does not unambiguously map one method to every missing record-specific experiment field.",2026-07-05T20:39:04,v7_plus_v9pilot
573,10.1016/j.jcis.2023.04.068,hydrogel_properties.responsive_type,"""thermally responsive PEG-based microgel shell with LCST of 42 °C; swelling below 42 °C and shrinkage/release above 42 °C""",observed_fulltext,LCST of the PEG-based microgels shell can be adjusted to 42 °C,Design and preparation,,0.96,field_completion_v7_property_first_patch,enzyme_immobilization,"responsive_type is not listed in the missing_focus paths for the existing records, so it is retained only as article-level evidence.",2026-07-06T05:27:59,v7_plus_v9pilot
574,10.1016/j.jcis.2023.04.068,photothermal_conversion_efficiency,"{""value"":46.87,""unit"":""%"",""raw_text"":""The η of CFNPs-IR780@MGs was 46.87%""}",observed_fulltext,The η of CFNPs-IR780@MGs was 46.87%,Photothermal properties,Fig. 2E,0.95,field_completion_v7_property_first_patch,enzyme_immobilization,Photothermal conversion efficiency is a material property but has no allowed target_path in the provided missing_focus lists.,2026-07-06T05:27:59,v7_plus_v9pilot
575,10.1016/j.jcis.2023.04.068,enzyme_molar_ratio,"""GOx to HRP molar ratio of 1:4 gave the highest cascade activity""",observed_fulltext,"When the molar ratio of GOx to HRP was 1:4, the cascade activity was the highest",Optimization and characteristics of DE-loaded CFNPs-IR780@MGs,Fig. 4D,0.94,field_completion_v7_property_first_patch,enzyme_immobilization,This is an enzyme loading optimization parameter rather than a hydrogel monomer ratio or other allowed missing target_path.,2026-07-06T05:27:59,v7_plus_v9pilot
729,10.1016/j.jcis.2024.01.125,hydrogel_properties.particle_size,"{""value"":200,""unit"":""μm"",""raw_text"":""spherical PEGDA droplets with a diameter of ∼200 μm""}",observed_fulltext,spherical PEGDA droplets with a diameter of ∼200 μm were continuously generated,Results and discussion,Fig. 1c,0.94,field_completion_v7_property_first_patch,general_batch_adsorption,"This is the pre-polymerization droplet diameter, not the final hydrogel sample size used in a specific adsorption or crystallization record.",2026-07-05T23:35:06,v7_plus_v9pilot
730,10.1016/j.jcis.2024.01.125,hydrogel_properties.particle_size,"{""value"":100,""unit"":""μm"",""raw_text"":""synthesized and dried hydrogel microspheres had a uniform size of ∼100 μm""}",observed_fulltext,the synthesized and dried hydrogel microspheres had a uniform size of ∼100 μm,Results and discussion,Fig. 1e; Fig. 1f,0.94,field_completion_v7_property_first_patch,general_batch_adsorption,"This describes dried HMSs, whereas the records concern swollen pure-water HMSs and NaCl-loaded swollen HMSs.",2026-07-05T23:35:06,v7_plus_v9pilot
731,10.1016/j.jcis.2024.01.125,hydrogel_properties.degradation_or_stability,"""NaOH treatment induced partial hydrolysis of ester bonds and decreased crosslinking density""",observed_fulltext,immersed in 0.1 M NaOH solution for 24 h to induce partial hydrolysis of ester bonds and decrease the crosslinking density,Methods,,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,This is a preparation-induced chemical modification rather than a degradation or stability outcome measured under the adsorption or crystallization assays.,2026-07-05T23:35:06,v7_plus_v9pilot
362,10.1016/j.jclepro.2025.146917,hydrogel_properties.pore_size,"{""value"":15.38,""error"":0.32,""unit"":""nm"",""raw_text"":""SCXG average pore diameter 15.38 ± 0.32 nm""}",observed_fulltext,SCXG | Average pore diameter (nm) | 15.38 ± 0.32,Parameters of adsorption of N2 for different crosslinked XG materials,Table 1,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"Pore size is reported for SCXG, but hydrogel_properties.pore_size is not listed in the missing_focus for the supplied records.",2026-07-06T04:33:11,v7_plus_v9pilot
363,10.1016/j.jclepro.2025.146917,hydrogel_properties.total_pore_volume,"{""value"":0.33,""error"":0.01,""unit"":""cm3/g"",""raw_text"":""SCXG total pore volume 0.33 ± 0.01 cm3/g""}",observed_fulltext,SCXG | Total pore volume (cm3/g) | 0.33 ± 0.01,Parameters of adsorption of N2 for different crosslinked XG materials,Table 1,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"Total pore volume is a characterized material property, but no allowed target_path for total pore volume is present in the patch schema.",2026-07-06T04:33:11,v7_plus_v9pilot
364,10.1016/j.jclepro.2025.146917,hydrogel_properties.loaded_porosity_pct,"{""value"":89.34,""error"":1.07,""unit"":""%"",""raw_text"":""SCXG-Pro total porosity 89.34 ± 1.07""}",observed_fulltext,SCXG-Pro | Total porosity (%) | 89.34 ± 1.07,Summary of physical parameters of porous structures in SCXG microspheres loaded and unloaded with GFP-GyrA-MiXBM,Table 2,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"This value is for protein-loaded SCXG-Pro after GFP-GyrA-MiXBM adsorption, so it should not replace the unloaded hydrogel porosity for all records.",2026-07-06T04:33:11,v7_plus_v9pilot
583,10.1016/j.jcoa.2026.100323,hydrogel.ionic_density,"""CEX hydrogel membrane exhibited an ionic density twice as high as CEX cellulose and an order of magnitude higher than CEX PES""",observed_fulltext,twice as high relative to the CEX cellulose membrane and an order of magnitude higher than the CEX PES membrane,Comparison of ionic densities between the CEX membranes,Fig. 1,0.82,field_completion_v7_property_first_patch,general_batch_adsorption,"Ionic density is a relevant membrane property, but it is not one of the allowed patch target paths.",2026-07-06T05:31:04,v7_plus_v9pilot
178,10.1016/j.jconrel.2004.05.009,hydrogel_properties.young_modulus,"{""AA15(1)C12_10_g_L"":{""G_prime"":274,""G_double_prime"":48,""unit"":""Pa""},""AA15(1)C12_7_g_L"":{""G_prime"":66,""G_double_prime"":10,""unit"":""Pa""},""AA15(2)C12_10_g_L"":{""G_prime"":180,""G_double_prime"":15,""unit"":""Pa""},""AA15(2)C12_7_g_L"":{""G_prime"":40,""G_double_prime"":4,""unit"":""Pa""},""AA14C12_10_g_L"":{""G_prime"":55,""G_double_prime"":8,""unit"":""Pa""},""AA14C12_7_g_L"":{""G_prime"":3.5,""G_double_prime"":1.3,""unit"":""Pa""},""AA8C12_10_g_L"":{""G_prime"":0.05,""G_double_prime"":0.1,""unit"":""Pa""}}",observed_fulltext,Rheological moduli ... at 1 rad/s ... at two different concentrations,Rheological moduli,Table 1,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"The table reports polymer-solution rheological moduli by derivative and concentration, not Young's modulus of a specific final protein-loaded particle record.",2026-07-06T03:26:14,v7_plus_v9pilot
